TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Gyártó	Kategória	Sorozat	Érintőképernyő	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	Alapszín	Chipset	USB 3	SSD kapacitás	Extra	Képarány	Number of SSDs installed	SSD meghajtó kapacitás	Intel Wireless Display (WiDi)	Tárolókapacitás	Hangrendszer	Processor clock speed	Processszorcsalád	Turbo frequency (max)	Processzor magok száma	Processor number of threads	System bus	L3-gyorsítótár	Alaplapi lapkakészlet	Internal memory	Belső memória-típus	Teljes tárolókapacitás	Storage media	Kártyaolvasó beépítve	Kompatibilis memóriakártyák	Átlós képernyő	Képernyő-felbontás	LED backlight	Teljes HD (Full HD)	On-board graphics adapter mode	Discrete graphics adapter mode	Optikai meghajtó-típus	Fényírás	Beépített mikrofon	Beépített kamera	WLAN-kapcsolat	Vezetéknélküli LAN típus	Ethernet/LAN csatlakozás	Bluetooth verzió	3G network access module	USB 3.0 portok száma	DVI-port	Mikrofon, bemeneti jackdugó	S/PDIF kimeneti port	DC-bemeneti jackdugó	ExpressCard-csatlakozó	CardBus PCMCIA csatlakozó típu	SmartCard csatlakozó	Mutatóeszköz	Numerikus billentyűzet	Biztosított operációs rendszer	Eszköztípus	Termék színe	Külső megjelenés	Market positioning	Akkumulátor-technológia	Akkumulátorcellák száma	Intel My WiFi Technology	Intel Anti-Theft Technology	Intel vPro Technology	Intel visual technologies	Intel Hyper-Threading Technolo	Intel Turbo Boost Technology	Memória bővítőhelyek	Maximális belső memória	Merevlemez kapacitása	Merevlemez forgási sebesség	Merevlemez csatolófelület	Méretarány	Ethernet LAN adatátviteli sebe	Kábelezési technológia	USB 2.0 portok száma	VGA (D-Sub) portok száma	Hangszóró/fejhallgató/kimeneti	Ethernet LAN (RJ-45) portok me	HDMI portok mennyisége	Szélesség	Mélység	Operating system architecture	Telepített merevlemezek száma	Discrete graphics memory	AC adapter mellékelve	Beépített hangszórók száma	Discrete graphics memory type	Magasság (elülső)	magasság (hátulsó)	Dokkoló csatlakozó	Hangszóró teljesítmény	Combo headphone/microphone por	Battery capacity	Magasság	AC adapter eloszlás	Kábelek mellékelve	Akkumulátor élettartam	Energy Star által tanúsított	EPEAT compliance	Full-size keyboard	Spill resistant keyboard	DisplayPorts quantity	Intel Small Business Advantage	SSD meghajtó csatlakozók	Touch technology	Touch screen type	Micro HDMI ports quantity	L2-gyorsítótár	Windows-gombok	Felhasználói kézikönyv	Ráadás szoftver	WiFi által tanúsított	Memory layout	Garanciakártya	Kábelzár csatlakozó	Jelszavas védelem	Billentyűzet billentyűk száma	Memory form factor	Front camera	Intel Identity Protection Tech	Front camera resolution	Intel Smart Connect Technology	Intel Matrix Storage Technolog	Intel HD Audio Technology	Vezetéknélküli LAN adatátvitel	Island-style keyboard	Glossy display	Maximális felbontás	Akkumulátor töltési idő	Keyboard backlit	Near Field Communication (NFC)	4G	Fejhallgató csatlakozhatóság	Mikrofon csatlakoztathatóság	4G WiMAX	Data network	Maximális grafikus adapter mem	Memória órajel	Storage media type	Tápegység	Soros portok száma	Memóriatípus	Hangszórógyártó	Processzor-foglalat	Ujjlenyomat-olvasó	Fényerő	Maximum internal memory (64-bi	Recovery operating system incl	USB Sleep-and-Charge	USB Sleep-and-Charge ports	Meghajtóprogramok mellékelve	Akkumulátor teljesítménye	AC adapter frekvencia	AC adapter bemeneti feszültség	AC adapter kimeneti feszültség	3D kompatibilitás	Merevlemez méret	AC adapter kimeneti áram	Thunderbolt ports quantity	Gyors áttekintő útmutató	Megbízott platform modul (TPM)	Üzemi hőmérséklettartomány (T-	Tárolási hőmérséklettartomány	Beépített TV-tuner	RoHS compliance	Power auto-sensing	Támogatott lemezfajták	Kijelzőszínek	Relatív üzemi páratartalom-tar	Tárolási relatív páratartalmi	Üzemi magasság	Nem üzemeltetési magasság	On-board graphics adapter memo	Wireless Wide Area Network (WW	Telepfeszültség	Üzemi ütődés	Üzemen kívüli ütődés	Üzemi rezgés	Nem üzemi rezgés
Acer Aspire V5-573G-54204G1Takk 15,6"	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 750M	2,1 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db		Fekete		1 db																																																																																																																																																																														
Acer Aspire V5-573G-74508G1Takk 15,6"	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 4500U (1,8 GHz, 3 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 750M	2,1 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db		Fekete		1 db																																																																																																																																																																														
NBK Sony VAIO Pro SVP1321M2EB 13,3" FHD	0 Ft									24 hónap saját				Sony																																																																																																																																																																																															
NBK Dell Latitude E7440 14" FHD Ci7-4600U 8GB 128	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
NBK Dell Latitude E7240 12,5" FHD Touch Ci7-4600U	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
NBK HP EliteBook Folio 9470m 14" (H5F49EA)	0 Ft			i7-3687U					1610 g	Garancialeveles 3 év				HP			N					Y													1	256 GB	Y		SRS Pro	2.1 GHz	Intel Core i7	3.3 GHz	2	4	5 GT/s	4 Mb	Intel QM77 Express	8 GB	DDR3-SDRAM	256 GB	SSD	Y	MMC, SD	14 "	1600 x 900 pixelek	Y		Intel HD Graphics 4000	N	N	N	Y		Y	802.11a, 802.11b, 802.11g, 802.11n	Y	4.0	Y	3	N	N	N	Y	N	N	N	TouchPad	N	Windows 7 Professional	Ultrabook	Ezüst	Clamshell		Lithium-Ion (Li-Ion)	4	Y	Y	Y	Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video	Y	2.0	2x SO-DIMM	16 GB				16:9	10, 100, 1000 Mbit/s	10/100/1000Base-T(X)		1		1		338 mm	231 mm	64-bit			Y	2				Y		Y	52 Wh	18.95 mm	45 W	AC	10 ó	Y			Y	1	N						Y	Y				Y	Y			SO-DIMM		Y										Y								1600 MHz						BGA1023			16 GB				Y		50/60 Hz	100 - 240 V	19.5 V					Y		0 - 35 °C	-20 - 60 °C						10 - 90 MHz	5 - 95 MHz	-15.24 - 3048 m	-15.24 - 12192 m			14.8 V	40 g	200 g	0.75 g	1.5 g	
NBK Toshiba Satellite M50-A-110 15,6" i5-4200U 4G	0 Ft									24 hónap saját				Toshiba																																																																																																																																																																																															
Dell Inspiron 7537 HD Ci5-4200U 6GB 500GB W8	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	6 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	NVIDIA GeForce GT 750M	2,6 kg	Garancialeveles 3 év	4 cellás	Nincs	Windows 8	Dell	Multimédia	Dell Inspiron		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack	MMC, MS, MS Pro, SDHC, SDXC, SD	10/100/1000 Mb/s		379,4x254,8x20,5 mm	Ezüst	Intel HM76 Express	4 db								Waves MaxxAudio® Pro																																																																																																																																																																						
Asus X550CC-XO742D 15,6" Piros	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Igen	750 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Piros	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Lenovo ThinkPad T530 15,6" N1E7ZHV No 3G	0 Ft	15,6 " (1600x900 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	NVIDIA Quadro NVS 5400M	2,57 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Lenovo	Üzleti	Lenovo ThinkPad T	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, USB, ExpressCard 34mm, 3,5 Jack, Display Port, D-Sub	MMC, SDHC, SDXC, SD	10/100/1000 Mb/s	2 db	245x372x31,8-35,6 mm	Fekete	Intel QM77 Express	2 db																																																																																																																																																																														
Acer Aspire V5-122P-42154G50NBB kék	0 Ft	11,6 " (1366x768 pixel)	Nem	AMD A Series A4-1250 (1 GHz, 1 MB cache)	4 GB DDR III	Nem	500 GB 5400 rpm	AMD Radeon HD 8210	1,38 kg	Garancialeveles 2 év	3 cellás	Nincs	Windows 8	Acer	Netbook	Acer Aspire V	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		Nincs	1 db	289 x 206 x 20,8 mm	Kék		1 db																																																																																																																																																																														
Dell Vostro 3560 FHD Ci7-3612QM 8GB 750GB Linux	0 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 3612QM (2,1 GHz, 6 MB cache)	8 GB DDR III 1600 MHz		750 GB 7200 rpm	AMD Radeon HD 7670M	2,57 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, ExpressCard 34mm, 3,5 Jack, D-Sub		10/100/1000 Mb/s		375 x 259 x 28,8-32,5 mm	Piros	Intel HM77 Express	4 db																																																																																																																																																																														
Dell Inspiron 3537 Ci5-4200U 4GB 750GB HD8670M	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	AMD Radeon HD 8670M	2,25 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, SDHC, SDXC, SD	10/100 Mb/s	2 db	376 x 259 x 24,9 / 31,3 mm	Fekete	Intel HM86 Express	2 db																																																																																																																																																																														
Dell Inspiron 3537 Ci5-4200U 6GB 1TB HD8670M	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	6 GB DDR III 1600 MHz		1000 GB 5400 rpm	AMD Radeon HD 8670M	2,25 kg	Garancialeveles 1 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, SDHC, SDXC, SD	10/100 Mb/s	2 db	376 x 259 x 24,9 / 31,3 mm	Fekete	Intel HM86 Express	2 db																																																																																																																																																																														
NBK Dell Latitude E5430 14" HD+ Ci5-3230M 4GB 500	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
NBK Dell Latitude E6540 FullHD Ci5-4300M 4GB 500G	0 Ft									36 hónap saját				Dell																																																																																																																																																																																															
NBK Dell Latitude E7240 12,5" HD AG Ci7-4600U 2x4	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
Toshiba Portégé Z930-18W 13,3"	0 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i3 3227U (1,9 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Igen		Intel HD Graphics 4000	1,12 kg	36 hónap saját	8 cellás	Nincs	Windows 8	Toshiba	Ultrabook	Toshiba Portégé	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, Micro SD, SDHC, SDXC, SD	10/100/1000 Mb/s	2 db	316x227x 8,3-15,9 mm	Ezüst		1 db	128 GB																																																																																																																																																																													
Toshiba Qosmio X70-A-12X 17,3"	0 Ft	17,3 " (1920 x 1080 pixel)	Nem	Intel Core i7 4700MQ (2,4 GHz, 6 MB cache)	32 GB DDR III 1600 MHz	Nem	1000 GB 5400 rpm	NVIDIA GeForce GTX 770M	3,6 kg	Garancialeveles 2 év		DVD+-RW DL	Windows 8.1	Toshiba	Gamer	Toshiba Qosmio	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub	MMC, Micro SD, SDHC, SDXC, SD	10/100/1000 Mb/s		418,6 x 272,5 x 29,6 / 44 mm	Ezüst		4 db	256 GB																																																																																																																																																																													
Toshiba Satellite C50-A-14G	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Celeron Dual-Core 1005M (1,9 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	Intel HD Graphics	2,3 kg	24 hónap saját		DVD+-RW DL	OP. rendszer nélkül	Toshiba	Általános	Toshiba Satellite	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, Micro SD, SDHC, SDXC, SD	10/100 Mb/s	2 db	380x242x30,8/33,35 mm	Fekete		1 db																																																																																																																																																																														
Toshiba Satellite C55-A-19D	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics 4000	2,3 kg	24 hónap saját		DVD+-RW DL	OP. rendszer nélkül	Toshiba	Általános	Toshiba Satellite	Nem	Realtek ALC269Q-VB5-GR	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, Micro SD, SDHC, SDXC, SD	10/100 Mb/s	2 db	380x242x30,8/33,35 mm	Fekete		1 db																																																																																																																																																																														
NBK Toshiba Satellite M50D-A-10W 15,6" A4-5000 4G	0 Ft									24 hónap saját				Toshiba																																																																																																																																																																																															
NBK DELL Vostro 5470 14.0" i5-4200U 4GB 500GB GT7	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
NBK DELL Inspiron 3521 15.6" Ci5-3317U 4GB 1TB HD	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
Lenovo IdeaPad G710 17,3" 59-402654	0 Ft	17,3 " (1600 x 900 pixel)	Nem	Intel Pentium Dual Core 3550M (2,4 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	Intel HD Graphics	2,9 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Általános	Lenovo IdeaPad G	Nem	HD Audio	Nem	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SD	10/100 Mb/s	2 db		Fekete	Intel HM86 Express	1 db								Dolby® Advanced Audio™ v2																																																																																																																																																																						
NBK Samsung ATIV Book 4 NP450R5V-X02HU 15,6" Fehé	0 Ft									Garancialeveles 2 év				Samsung																																																																																																																																																																																															
NBK Samsung ATIV Book 4 NP450R5E-X04HU 15,6" Fehé	0 Ft									Garancialeveles 2 év				Samsung																																																																																																																																																																																															
NBK Dell XPS DUO 12 12,5" MultiTouch HD Ci5-4200U	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
NBK Lenovo IdeaPad YOGA2 Pro 13,3" (59-402967)	0 Ft									Garancialeveles 3 év				Lenovo																																																																																																																																																																																															
Lenovo IdeaPad Z510 Fehér 59-403858	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 4200M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 740M	2,2 kg	Garancialeveles 3 év	4 cellás	DVD+-RW DL	Windows 8	Lenovo	Multimédia	Lenovo IdeaPad Z	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, SD	10/100 Mb/s	1 db	380 x 265 x 25,6 mm	Fehér	Intel HM86 Express	2 db								JBL Dolby Home Theater® v4																																																																																																																																																																						
Lenovo IdeaPad Y510 15,6" 59-404688	0 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 4700QM (2,4 GHz, 6 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 755M	2,7 kg	Garancialeveles 3 év	6 cellás	Nincs	Free DOS	Lenovo	Üzleti	Lenovo IdeaPad Y	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, XD, SD		1 db	387 x 259 x 15,5-36 mm	Fekete	Intel HM86 Express	2 db	8 GB							Dolby ® Home Theater ™																																																																																																																																																																						
NBK HP EliteBook 820 G1 12,5" i7-4600U 8GB 256GB	0 Ft									Garancialeveles 3 év				HP																																																																																																																																																																																															
Asus X550CA-XX115D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1333 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Fehér	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X200CA-KX003D 11,6" Fekete	0 Ft	11,6 " (1366x768 pixel)	Nem	Intel Celeron 1007U (1,5 GHz, 2 MB cache)	2 GB DDR III 1333 MHz		320 GB 5400 rpm	Intel HD Graphics	1,24 kg	24 hónap saját	3 cellás	Nincs	Free DOS	Asus	Ultrabook	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SDHC, SD	10/100 Mb/s	2 db	302 x 200 x 25,6 mm	Fekete	Intel NM70 Express	1 db																																																																																																																																																																														
Dell Vostro 3460 Ci5-3230M 4GB 750GB GT630M Piros	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	NVIDIA GeForce GT 630M	2,23 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s		345,5x244x28-30,1 mm	Piros	Intel HM77 Express	4 db																																																																																																																																																																														
Dell Vostro 3460 Ci5-3230M 4GB 750GB GT630M Bronz	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	NVIDIA GeForce GT 630M	2,23 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s		345,5x244x28-30,1 mm	Bronz	Intel HM77 Express	4 db																																																																																																																																																																														
NBK DELL Vostro 3460 14.0" Ci5-3230M 4GB 750GB GT	0 Ft									Garancialeveles 3 év				Dell																																																																																																																																																																																															
Acer Aspire E1-570-33214G50MNKK fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	Intel HD Graphics 4000	2,3 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	2 db	381,6 x 256 x 12,07-25,3 mm	Fekete		1 db																																																																																																																																																																														
Acer Aspire V5-132P-21294G50nss ezüst	0 Ft	11,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2129Y (1,1 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics	1,38 kg	Garancialeveles 2 év	3 cellás	Nincs	Windows 8	Acer	Netbook	Acer Aspire V	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		Nincs	1 db	289 x 206 x 20,8 mm	Ezüst		1 db																																																																																																																																																																														
Toshiba Satellite C55-A-199 W8.1	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	Intel HD Graphics 4000	2,3 kg	24 hónap saját		DVD+-RW DL	Windows 8.1	Toshiba	Általános	Toshiba Satellite	Nem	Realtek ALC269Q-VB5-GR	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, Micro SD, SDHC, SDXC, SD	10/100 Mb/s	2 db	380x242x30,8/33,35 mm	Fehér		1 db																																																																																																																																																																														
NBK Asus X550VC-XO090D 15,6" i5-3230M 6GB 750GB G	0 Ft									24 hónap saját				Asus																																																																																																																																																																																															
NBK Lenovo ThinkPad S540 15,6" 20B3002GHV	0 Ft									24 hónap saját				Lenovo																																																																																																																																																																																															
