TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Háttértár HDD meghajtó méret	Háttértár Tipus	Háttértár Jellemzők	Videókártya Jellemzők	Egyéb technikai paraméretek Billentyűzet	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	Fizikai paraméterek Egyéb leírás	Optikai meghajtó Jellemzők	Operációs rendszer Verzió	Operációs rendszer Nyelv	Videókártya Dedikált memória	Fizikai paraméterek Ajándék kiegészítők	Háttértár SSD / Flash meghajtó méret	OS Jell.
Lenovo IdeaPad G700	1.9526742041319E+37 Ft	17,3 "	1600x900 WXGA HD+	Fényes, LED		Intel®	Core i7	4702MQ, 2.2/3.2GHz	6MB cache	8 GB	DDR3 1600 MHz	2x4GB, max. 8GB				nVidia	GeForce® GT 720M 2GB DDR3	Dedikált, saját memóriával		2,9 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cellásmax. 5h	DVD író	Intel HM76 chipset	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	1000 GB	Hibrid (HDD + SSD)	5400rpm SSHD		Numerikus billentyűzet, Magyar	AccuType billentyűzet		Dolby Advanced Audio, sztereo hangszórókHeadphone, Microphone jack	HDMI, VGA, Bluetooth, USB 3.0, Webkamera, Memóriakártya olvasó	Bluetooth 4.0, HDMI, 2xUSB2.0; 1x USB3.0, VGA	2 in 1 kártyaolvasó (SD/MMC)	HD 720p Webkamera	WLAN	1x1 BGN Wifi10/100 Ethernet	Külön vásárolható	DOS	418 mm x 278 mm x 36,8 mm		DVD SuperMulti (Tray-in)			2048 MB		8 GB		
Lenovo IdeaPad U330 Touch Ultrabook	1.952677189771E+30 Ft	13,3 "	1366x768 WXGA HD	Érintőképernyő	10-pontos Multitouch, 200 nit fényerő	Intel®	Core i5	4200U 1.6GHz	3M Cache, max. 2.60 GHz	4 GB		max. 8GB DDR3L - 1 SODIMM slot				Intel	HD Graphics 4400	Alaplapi integrált		1.7kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	45 Whmax. 10 óra: Windows 8 idle mód és 150 nit fényerőmax. 6 óra: full HD video lejátszás			Ultrabook™, 2 kg alatt	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	Hibrid (HDD + SSD)	SSHD		Magyar	AccuType		Dolby® Home Theater® v4sztereo hangszórók, digitálsi mikrofon2-in-1 audio jack (headphone és mic)	Webkamera, HDMI, Bluetooth, Memóriakártya olvasó, USB 3.0	Bluetooth® 4.01 USB 3.0, 2 USB 2.0, HDMI-out	2-in-1 kártyaolvasó (SD, MMC)	1.0MP 720p HD webkamera	WLAN	802.11 b/g/n WiFi	Windows 8	Lenovo® CompanionLenovo SupportMcAfee Internet SecurityLenovo Cloud Storage by SugarSyncYouCamAmazon KindleEvernote	322 x 224 x 4.5 ~ 19 mm				Magyar, Választható, Angol			8 GB		
Acer Travelmate P653-MG-53234G50Mtkk_LIN 3 év garancia + véletlensérülés biztosítás	1.9644881896686E+21 Ft	15,6 "	1366x768 WXGA HD	Matt, LED	Acer ComfyView Super-slim design	Intel®	Core i5	3230 max. 3.2 GHz	3M Cache	4 GB		DDR3, max. 8 GB				nVidia	GeForce GT 640M 1GB	Dedikált, saját memóriával		2.6 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	6-cellás Li-ion 66 Wh 6000 mAh	DVD író	Mobile Intel® HM77 Express Chipset	Üzleti, Professzionális, Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	Acer DASP (Disk Anti-Shock Protection).		Numerikus billentyűzet, Magyar	105-/106-/109-gombos Acer FineTouch™	Multi-gesture touchpad	High-definition audio Beépített hangszórók és mikrofon	Bluetooth, HDMI, eSATA, Memóriakártya olvasó, ExpressCard, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0	Bluetooth 4.0, HDMI, 3xUSB3.0, eSATA /USB2.0	Multi in1 kártyaolvasó (SD™, MMC, MS, MS PRO, xD)ExpressCard®/34, 144-pin Acer ProDock csatlakozó	Acer Crystal Eye 720p HD Webkamera TPM, Acer Bio-Protection Ujjlenyomat olvasó	WLAN	802.11a/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.4/31 (H) mm		8X DVD-Super Multi double-layer			1024 MB				
HP-Compaq EliteBook 840 G1	9.4413189826069E+45 Ft	14,1 "	1366x768 WXGA HD	LED, Matt	csillogásmentes	Intel®	Core i5	4200U 1,6 GHz	3 MB gyorsítótár, 2 mag	4 GB	DDR3 1600 MHz	(1 x 4 GB), 2 SODIMM hely, Legfeljebb 16 GB				Intel	HD Graphics 4400	Alaplapi integrált		1,58 kg	3 év (1 év az akkura és töltőre)	Szerviz, Világ	HP Long Life, 3 cellás (50 Wh)	Nincs	A chipkészlet integrálva van a processzorba	2 kg alatt, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Igen	500 GB	HDD	7200 f/p SATAHP 3D DriveGuard		Magyar	Folyadékelvezető, cseppálló billentyűzet	Érintőtábla be- és kikapcsológombbal, kétirányú görgetéssel, kézmozdulat-érzékeléssel és két választógombbal; Mutatópálca, két további választógomb	HD Audio DTS Studio Sound technológiával Beépített kétcsatornás mikrofon 2 beépített sztereó hangszóró1 kombinált sztereó fejhallgató- és mikrofoncsatlakozó	Memóriakártya olvasó, DisplayPort, VGA, USB 3.0, Dokkolócsatlakozó, Webkamera, Bluetooth	Bluetooth 4.03 USB 3.0 1 USB 3.0 töltéshez 1 DisplayPort 1 VGA	1 médiakártya-olvasó1 dokkolócsatlakozó1 másodlagos akkumulátorcsatlakozó	720p HD webkameraTPM 1.2 beágyazott biztonsági chip, HP ujjlenyomat-olvasó	WLAN	Broadcom 802.11a/b/g/n (2x2) wifiGigabit hálózati csatlakozó (10/100/1000 NIC)	Külön vásárolható	FreeDOS	33,89 x 23,7 x 2,1 cm			64 bit	Magyar	1024 MB		256 GB	Windows 7 Professional előtelepítve, illetve a Windows 8 Pro szoftver lemeze és licence is jár hozzá	
Sony VAIO® Fit multi-flip™	3.9297709513912E+36 Ft	13,3 "	1920x1080 Full HD 1080	Érintőképernyő, LED	TRILUMINOS kijelző, kapacitív ÉrintőképernyőFényérzékelő	Intel®	Core i7	4500U 1,80GHz	Turbo Boost technológiával, max. 3,0GHz4MB L3 cache	8 GB	DDR3 1600 MHz	DDR3L az alaplapon				Intel	HD 4400	Alaplapi integrált		1,96kg	2 év (1 év az akkura és töltőre)	Szerviz	Lítium-ionos polimer akkumulátor 35,325 Wh	Nincs		Ultrabook™	Tablet PC	Új	Ezüst hátlap	Igen	500 GB	SSD / Flash	SATA 6 Gb/s		Magyar, Háttérvilágításos	HáttérvilágításGombok távolsága 19mm, Kitérés 12mmSpeciális gombok: Assist	Érintőpanel (kézmozdulat felismerése támogatott)	Beépített sztereó hangsugárzókBeépített kettős mikrofonClearAudio+ módS-Force Front Surround 3D	Bluetooth, HDMI, Memóriakártya olvasó, Webkamera, USB 3.0	Bluetooth® 4.0 + HS1 db SuperSpeed USB (USB 3.0) port, A típusú csatlakozó töltő funkcióval, 1 db SuperSpeed USB (USB 3.0) port, A típusú csatlakozó töltő funkcióvalHDMI® kimenet	1 db SD-memóriakártya (SDHC, SDXC kompatibilis, UHS (SDR50) támogatott, másolásvédelmi funkció (CPRM))	NFC funkció, Gyorsulásmérő, Giroszkóp, Digitális iránytű, Digitális toll0,92MP Exmor RTM for PC HD webkamera elöl, 8 megapixeles "Exmor RS for PC" kamera hátul	WLAN	IEEE 802.11a/b/g/n Vezetéknélküli LAN	Windows 8	VAIO Message CenterPlayMemories Home, VAIO Movie Creator, CamScannerAlbum by Sony, Music by Sony, Imagination Studio™ - VAIO EditionVAIO Care, VAIO Transfer Support, VAIO Update, VAIO Control CenterMcAfee Internet Security 30 napos előfizetés, McAfee Parental Controls, Intel® Anti-Theft Service 90 napos próbaidőEgyérintéses zenehallgatás NFC technológiával, Xperia Link	223,4*14,3 - 17,9*325,4mm	Ház anyaga: Alumínium			Angol, Választható, Magyar			128 GB		
Acer Travelmate P653-M-33124G50Mtkk3 év garancia + véletlensérülés biztosítás	1.9707873896686E+31 Ft	15,6 "	1366x768 WXGA HD	LED, Matt	Acer ComfyView	Intel®	Core i3	3120M 2.50GHz	3 MB cache, Dual-core	4 GB		DDR3, max. 8GB, 2 soDIMM hely				Intel	HD Graphics 4000	Alaplapi integrált		2.6 kg	3 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	6-cellás Lithium Ion 66Wh 6000mAhmax. 8h	DVD író	Mobile Intel® HM77 Express Chipset	Professzionális, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	5400rpm Serial ATA Acer DASP (Disk Anti-Shock Protection).		Numerikus billentyűzet, Magyar	Acer FineTouch	Multi-touch TouchPad gesztusfelismeréssel	High-definition audioBeépített sztereo hangszórók és sztereo digitális mikrofon	Webkamera, ExpressCard, Memóriakártya olvasó, Smart Card olvasó, Dokkolócsatlakozó, Ujjlenyomat olvasó, eSATA, VGA, Bluetooth, HDMI, USB 3.0	Bluetooth 4.0 + HS, HDMI, 2*USB3.0, eSATA/USB2.0, VGA	Multi in1 Memóriakártya olvasó: SD, MMC, MS, MS PRO, xDExpressCard®/34, SmartCard, 144-pin Acer ProDock csatlakozó	Acer Crystal Eye 720p HD Webkamera 1280 x 1024Trusted Platform Modul (TPM), Acer Bio-Protection Ujjlenyomat olvasó	WLAN	Acer Nplify 802.11a/b/g/n Wi-FiGigabit Ethernet, ASF2.0, IEEE P802.3az EnergyEfficient Ethernet™ (EEE)	Windows 7 Professional	Acer ProShield Security Manager: BIOS Settings Credential Manager Pre-Boot Authentication Data Protection: File Encryption & Decryption, Personal Secure Drive File ShredderAcer Backup ManagerAcer ePower ManagementAcer eRecovery Man.Acer PowerSmart ManagerAcer ProDock ManagerEvernoteNorton™ Online BackupWindows Virtual PCWindows XP ModeMcAfee® Internet Security Suite próbaverzióAcer Office ManagerIntel® Small Business AdvantageCorel® WinDVDNTI Media MakerAcer Crystal EyeAcer Video Conference Manager	381.6 (W) x 253 (D) x 25.4 / 31 (H) mm		8x DVD-Super Multi double-layer	64 bit	Magyar					
Toshiba Satellite U840W-108 Ultrabook™	1.9715747892165E+18 Ft	14,4 "	1792x768 Cinema HD	Fényes, LED	Toshiba TruBrite® 21:9 oldalaránnyal	Intel®	Core i5	3317U 1,70 / 2,60 Turbo GHz	3. szintű gyorsítótár : 3 MB Intel® Turbo Boost 2.0 technológiával	4 GB	DDR3 1600 MHz	bővíthetőség felső határa : 10,240 MB				Intel	HD Graphics 4000	Alaplapi integrált		min. 1,68 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos, Szerviz	Lítiumionos polimeres, 4 cellás maximális üzemidő : akár 7 óra 45 perc (Mobile Mark™ 2007)			Ultrabook™, 2 kg alatt	Notebook / Laptop	Új	Ezüstszínű borítás textúrázott barna felületekkel kombinálva, fekete billentyűzet	Nem	320 GB	Hibrid (HDD + SSD)	5,400 fordulat/perc	akár 1696 MB megosztott memória 4 GB telepített rendszermemória mellett (előre telepített 64 bites operációs rendszer esetén) memória típusa : megosztott	Magyar	Matt fekete billentyűzet teljes méretű, háttér-világítású billentyűkkel billentyűk : 87 Windows billentyűk : Igen	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, több érintést is érzékelő érintőtábla	támogatott hangformátum : 24 bites sztereó hangszórók : beépített Harman Kardon® sztereó hangszórók SRS Premium Sound 3D™ hangtechnológiával gyártó : Realtek (ALC280Q-GR)1 × sztereó fejhallgató 1 × a „Sleep-and-Music” funkciót támogató külső mikrofon	Memóriakártya olvasó, HDMI, Bluetooth, USB 3.0, Webkamera	Bluetooth® 4.01 × HDMI-kimenet, 1080p jelformátum támogatása 3 × USB 3.0 (egy Sleep-and-Charge USB-technológiával és automatikus módészleléssel)	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™, 256 MB-os Memory Stick®, 2 GB-os Memory Stick Pro™ és 2 GB-os MultiMedia Card™ kártyákhoz)	1,3 megapixeles HD-webkamera (1280 x 800) beépített mikrofonnal	WLAN	Wi-Fi™ Hálózati támogatás : Intel® 802.11b/g/nFast Ethernet hálózati csatoló	Windows 7 Home Premium	Skype Windows Live Essentials A számítógépen a Microsoft® Word és az Excel program korlátozott funkcionalitású, reklámokat tartalmazó verziója található. PowerPoint és Outlook nélkül. A számítógépen előtelepített, teljes funkcionalitású Office csomag aktiválásához vásárold meg a Microsoft® Office 2010 terméket. McAfee® Internet Security (30 napos ingyenes előfizetéssel) Nero KwikMedia, Nero BackItUp és Burn Autobackup Toshiba Eco Utility™ Toshiba PC Health Monitor Toshiba Resolution+ beépülő modul a Windows Media Player lejátszóhoz Toshiba Tempro - ellenőrzi, hogy megvannak-e a laptopon a legújabb Toshiba szoftverfrissítések Toshiba webkamera-alkalmazás Toshiba Video Player for Cinema Toshiba Split Screen Utility Toshiba Recovery Media Creator WildTangent Games Console Toshiba Disc Creator	Sz x H x M : 368,7 x 200,0 x 20,33 mm			64 bit	Magyar			32 GB	előtelepítve, Toshiba merevlemez-helyreállítás	
Lenovo ThinkPad S540 Ultrabook™	3.3007059896686E+35 Ft	15,6 "	1920x1080 Full HD 1080	Matt, LED, Érintőképernyő	10 pontos Multi-Touch anti-glare, 300 nit	Intel®	Core i7	4500U (1,8/3,0GHz)	4MB cache	8 GB	DDR3 1600 MHz	8GBx1, 16GB max DDR3L / 2 SO-DIMM hely				AMD/ATI	Radeon™ HD 8670M 2GB	Dedikált, saját memóriával		2.11kg	3 év (1 év az akkura és töltőre)	Világ, Szerviz	Li-Polymer 4-cellás (62.8Whr)MobileMark 2007: Windows 7: max. 9.0 hMobileMark 2012: Windows 8: max. 6.0 h	Nincs	Intel 4th Generation core 1 chip	Üzleti, Játék/3D grafika, Ultrabook™, Professzionális	Notebook / Laptop	Új	Fekete hátlap	Nem	1000 GB	SSD / Flash	SATA 6.0Gb/s, 2.5"Active Protection System™		Magyar, Háttérvilágításos, Numerikus billentyűzet	LED háttérvilágítás6-soros, cseppálló, Windows 8 multimedia Fn gombok	TrackPoint és UltraNav™ touchpad, integrált 5 gomb, multi-touch	Dolby® Home Theater® v4, ALC283 codec / JBL® sztereo hangszórókdual mikrofon zajcsökkentéssel, 3.5mm Combo Jack Headphone / MIC	Memóriakártya olvasó, HDMI, Bluetooth, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0	Bluetooth 4.02* USB 3.0 (1 powered), HDMI	4-in-1 kártyaolvasó (MMC, SD, SDHC, SDXC)OneLink Docking port	HD720p Webkamera TPM modul, ujjlenyomat-olvasó	WLAN	Intel Centrino® Wireless-N 7260, 2x2 Wi-Fi Realtek® RTL8111GUS Gigabit LAN	Windows 7 / 8 Pro	• Adobe® Reader®• ThinkVantage System Update• Norton™ Internet Security (30nap)• Lenovo Support• Lenovo Companion• Lenovo Cloud Storage	379.0mm x 252.4mm x 22.8mm	aluminum és magnesium ötvözet váz		64 bit	Angol, Magyar, Választható	2048 MB		256 GB	Windows 7 Pro előtelepítve + Windows 8 Pro licensz	
Acer Aspire V5-573G-74508G1Takk	3.9293046664859E+46 Ft	15,6 "	1920x1080 Full HD 1080	LED, IPS, Matt	Acer ComfyView™ IPS	Intel®	Core i7	4500U 1.8 GHz	4M Cache, max. 3.00 GHz	8 GB		alaplapon, 1 soDIMM hely, max. 12GB				nVidia	GeForce® GT 750M 4GB	Dedikált, saját memóriával		2.0 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	53 Wh 3560 mAh 15 V 4-cellás Li-polymer max. 7,5h	Nincs		Játék/3D grafika, 2 kg alatt	Notebook / Laptop	Új	Fekete hátlap	Igen	1000 GB	HDD	Serial ATA		Háttérvilágításos, Magyar, Numerikus billentyűzet	háttérvilágítással105-/106-/109-gombos FineTouch™	Acer ZoomPerfect touchpad	Dolby Digital Home Theater® v4 audio 4 hangszóró, digitális mikrofonCombo audio jack	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA	HDMI®, Acer Converter port, 1* USB 3.0, 2* USB 2.0	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11a/b/g/n Wi-Fi Gigabit Ethernet	Külön vásárolható	Boot-up Linux	381.6 (W) x 255.95 (D) x 18/20.75 (H) mm					4096 MB	Acer Converter kábel (VGA-out)			
Lenovo IdeaPad Y510p	2.4385000041319E+40 Ft	15,6 "	1920x1080 Full HD 1080	Matt, LED	Anti-glare	Intel®	Core i7	4700MQ 2.40GHz	6MB cache, max. 3,4GHz	4 GB	DDR3 1600 MHz	DDR3, max. 16GB				nVidia	GeForce® GT 755M Dual (2x)2GB SLI	Dedikált, saját memóriával		2,7 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cellás 62WH, max. 5h	Nincs	Mobile Intel® HM86 Express	Játék/3D grafika, Multimédiás	Notebook / Laptop	Új	Fekete hátlap	Nem	1000 GB	HDD	5400rpm SATA HDD + SSHD		Magyar, Numerikus billentyűzet	háttérvilágított		JBL® hangszórók, Dual digital mikrofon, Dolby Home Theatre v4•Headphone jack•Microphone jack	USB 3.0, Memóriakártya olvasó, Bluetooth, HDMI	Bluetooth 4.01x USB 2.0 (1 always on)2x USB 3.0 SuperSpeedHDMI-out	6-in-1 kártyaolvasó (SD, SDHC, SDXC, MMC, MS, MS-Pro)	HD 720P Webkamera	WLAN	WiFi: BGN100/1000M LAN	Külön vásárolható	DOS	387 x 259 x 15,5-36 mm		DVD-RW SUPER MULTI(TRAY IN)			2*2048 MB		8 GB		
Fujitsu LIFEBOOK E743-E2W8PH	2.0392943388165E+39 Ft	14,1 "	1600x900 WXGA HD+	Matt, LED	Tükröződésmentes kijelző, 300:1 , 250 cd/m²Magnesium keret	Intel®	Core i3	3120M 2.5GHz	3MB cache	4 GB	DDR3 1600 MHz	1x 4GB, max. 16 GB, 2 Memória-bővitőhely				Intel	HD Graphics 4000	Alaplapi integrált		1,8 kg	2 év (1 év az akkura és töltőre)	Szerviz	6 cellás, Akár 13 óra	Nincs	Intel QM77	Üzleti, Professzionális, 2 kg alatt	Notebook / Laptop	Új	Ezüst hátlap	Nem	500 GB	Hibrid (HDD + SSD)	SSD + 5.4k rpm HDD SATA , 2,5 hüvelykes, S.M.A.R.T.		Háttérvilágításos, Magyar	Háttérvilágítással	Touchpad gesztusfelismeréssel	Intel High Definition AudioSztereó hangszórók, 2 db digitális mikrofon1 x Hang: vonali bemenet / mikrofon1 x Hang: vonali kimenet / fejhallgató	VGA, DisplayPort, Dokkolócsatlakozó, Ujjlenyomat olvasó, Memóriakártya olvasó, USB 3.0	1 x USB 2.0 3 (1 db Anytime USB-töltési funkcióval) x USB 3.0 1 x VGA1 x DisplayPort	SD 2 GB-ig, SDHC 32GB-ig, SDXC 64GB-ig kártyaolvasó1 x Dokkolócsatlakozó portismétlőhöz	TPM Chip, Ujjlenyomat olvasó	WLAN	WLAN b/g/nLAN 10/100/1000 MBit Intel 82579 LM	Windows 7 / 8 Pro	Office2013 próbaverzió	338 x 231 x 20 (f) - 27 (r) mm			64 bit	Választható, Angol, Magyar			8 GB		
HP-Compaq Split 13-m103sh x2	3.9297709513912E+36 Ft	13,3 "	1366x768 WXGA HD	Matt, Érintőképernyő	tükröződéscsökkentő UWVA érintőképernyő	Intel®	Core i5	i5-4200Y 1,4 GHz	Turbo Boost technológiával, 3 MB gyorsítótár, 2 mag	4 GB		(1 x 4 GB) DDR3L				Intel	HD Graphics 4200	Alaplapi integrált		2,3 kg; csak táblagép esetén: 1 kg	1 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	Táblagép: 3 cellás (33 Wh) lítiumion-polimer Alap: 3 cellás (32 Wh) lítiumion-polimer	Nincs		Általános otthoni/irodai	Tablet PC	Új	Koromfekete, modern ezüst fedőlap, selymes tapintású felülettel	Igen	500 GB	Hibrid (HDD + SSD)	5400 f/p SATA HDD + félvezető-alapú meghajtó		Magyar	Levehető, Teljes méretű, sziget stílusú	HP ImagePad be/ki gombbal és többérintéses mozdulatok támogatásával	Beats Audio™ hangrendszer 2 hangszóróval 1 kombinált fejhallgató/mikrofon (alap) 1 kombinált fejhallgató/mikrofon (táblagép)	Memóriakártya olvasó, Webkamera, USB 3.0, HDMI	Bluetooth 4.0 HS 1 HDMI (alap)1 USB 2.0 (alap) 1 USB 3.0 (alap)	1 többformátumú digitális memóriakártya-olvasó SD-kártyákhoz	Elülső oldali HP TrueVision FHD kamera (2,0 MP) két beépített digitális mikrofonnal és szoftverrel (1080p)	WLAN	802.11b/g/n WLAN	Windows 8	HP regisztráció Windows 8-hoz Első lépések útmutató Windows 8-hoz HP Utility Center HP Recovery Manager (helyreállítási partíció, helyreállítási USB/Flash létrehozási eszköz) Symantec Norton Internet Security 2013 (60 napos automatikus verziófrissítés) Beats Audio™ SRS 3D-vel HP Connected Music HP CoolSense HP ProtectSmart HP Connected ePrint Cyberlink Power DVD Windows Live Essentials 7-Zip Box (50 GB ingyenes felhőalapú tárhely) Monopoly Klasszikus táblajátékok Hangszerek	34 x 23 x 2,34 cm; csak táblagép esetén: 34 x 21,6 x 1,13 cm			64 bit	Magyar, Angol, Választható			64 GB		
Lenovo ThinkPad X230i	2.0589761892251E+40 Ft	12,5 "	1366x768 WXGA HD	Matt, LED	anti-glare, 200 nit, 16:9, 300:1	Intel®	Core i3	3120M 2.50 GHz	3M Cache	4 GB		16GB max.				Intel	HD Graphics 4000	Alaplapi integrált		1.50kg	3 év (1 év az akkura és töltőre)	Világ, Szerviz	6 cellás Li-Ion, max. 10.3 óra	Nincs	Mobile Intel QM77 Express Chipset	Professzionális, Üzleti, 2 kg alatt	Notebook / Laptop	Új	Fekete hátlap	Nem	320 GB	HDD	7200rpm SATA 3.0Gb/s, 2.5", 7mm, Active Protection System™, Shock Mounted Hard Drive		Magyar, Háttérvilágításos	háttérvilágított billentyűzet6-soros, 84-gombos, ThinkVantage gomb, cseppálló, multimedia Fn gombok, ThinkLight™ megvilágítás	TrackPoint és UltraNav™ touchpad	High Definition (HD) Audio, Conexant 20672 codec / sztereo hangszórók: 1 watt x 2duál mikrofon, combo audio/mic jack	Memóriakártya olvasó, Bluetooth, DisplayPort, VGA, ExpressCard, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0	Bluetooth 4.0, 2*USB 3.0, 1*powered USB 2.0, VGA DB-15, Mini DisplayPort	4-in-1 kártyaolvasó (SD, SDHC, SDXC, MMC)ExpressCard 34/54	TCG 1.2 Secure Chip, AuthenTec ujjlenyomat-olvasó720p HD kamera	WLAN	Intel 6205agn 2x2 WiFiIntel 82579LM Gigabit Ethernet	Windows 7 Professional		305mm x 206.5mm x 19.0-26.6mm			64 bit	Magyar, Angol				+Windows 8 Professional 64bit RecoveryDVD/licensz	
HP-Compaq ProBook 6470b	3.9295189216474E+28 Ft	14,1 "	1600x900 WXGA HD+	LED, Matt	csillogásmentes	Intel®	Core i5	3230M 2,60GHz	3 MB L3 gyorsítótár, 2 mag	4 GB	DDR3 1600 MHz	Legfeljebb 16 GB				Intel	HD Graphics 4000	Alaplapi integrált		Kezdő súly: 2,03 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cellás (55 Wh) lítiumion: akár 8 óra 15 perc	DVD író	Mobile Intel® HM76 Express	Professzionális, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Igen	500 GB	HDD	7200 f/p SATA II merevlemez meghajtó, HP 3D DriveGuard		Magyar	Teljes méretű cseppálló billentyűzet vízelvezetőkkel	Érintőtábla be- és kikapcsoló gombbal, kétirányú görgetéssel, mozdulatokkal és két gombbal; Pöcökegér kéttovábbi pöcökegérgombbal (egyes típusokon);	SRS Premium Sound; Beépített sztereó hangszórók; Beépített mikrofon (opcionális webkamera alkalmazása esetén dupla tömbmikrofon); Sztereó fejhallgató-/vonalikimenet; Sztereó mikrofonbemenet	Webkamera, ExpressCard, Memóriakártya olvasó, eSATA, IEEE 1394 FireWire, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0, VGA, DisplayPort, Bluetooth	Bluetooth 4.0+ EDR, 2 USB 3.0; 1 USB 2.0; 1 DisplayPort; 1 1394a; 1 kombinált eSATA/USB 2.0; 1 VGA	1 Express Card/54; 1 SD/MMCdokkolócsatlakozó; 1 másodlagos akkumulátorcsatlakozó	720p HD webkameraTPM 1.2 beágyazott biztonsági chip, HP ujjlenyomat-olvasó	WLAN	Broadcom 802.11a/b/g/n WLAN; Beépített Intel gigabites hálózati csatlakozó	Windows 7 / 8 Pro	Microsoft® Office Starter: csak a Word és az Excel® programot tartalmazza, csökkentett funkcionalitással és hirdetésekkel. A PowerPoint® és az Outlook® alkalmazást nem tartalmazza. A teljes szoftvercsomag használatához meg kell vásárolnia az Office 2010 szoftvert; Microsoft Security Essentials; HP Connection Manager; HP gyorsbillentyű támogatása; HP Power Assistant; HP ProtectTools for Central Management; HP ProtectTools Security Manager; HP Recovery Manager; HP Support Assistant; HP webkameraszoftver (egyes típusok esetén); Adobe® Flash Player; Corel WinDVD (egyes típusoknál); PDF Complete Corporate Edition; Roxio MyDVD Business 2010 (egyes típusoknál); Roxio Secure Burn (egyes típusoknál); WinZip Basic; HP SoftPaq Download Manager	33,8 x 23,1 x 3,4 cm		DVD+/-RW SuperMulti DL	64 bit	Angol, Magyar, Választható				Windows 7 Professional 64 elérhető Windows 8 Pro downgrade által	
