TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Audio	Egyéb	Szín
Dell Vostro 3560 (V3560-3) Notebook	238900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		32GB SSD + 500GB/7200 HDD, SSD	ATI Radeon HD 7670M 1GB DDR3	2,6 kg, 28,8(elöl)/32,5(hátul) x 375 x 259 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	720p HD webkamera				
Toshiba Satellite U840W-108 Notebook	238900 Ft	14,4 ", 1792x768 Cinema HD, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		320 GB, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 368,7 x 200,0 x 20,33 mm	2 év garancia	4 cella, 7,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, HDMI out	Camera 1.3MPix				
Fujitsu LIFEBOOK S752-M (VFY:S7520MF011HU) Notebook	241900 Ft	14,1'', 1600*900, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,2 kg, 340 x 245 x 35 mm	3 év garancia	6 cella, 12 óra átlagos üzemidő	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , DSUB + Display port, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	Camera		eSATA		
Hewlett Packard HP ProBook 6560b (LG658EA) Notebook	243900 Ft	15,6", 1600*900, 16:9	Intel Core i5, -2520M (2,5Ghz, 3MB cache, 1333Mhz FSB)	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Radeon HD 6470M 512MB	2,5 kg, 37,4 x 25,1 x 3,4 cm	3 év garancia	6 cella, 2 óra átlagos üzemidő, 55Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	4 db USB 2.0 port, Bluetooth 2.1, Médiakártya-olvasó , IEEE1394 firewire , DSUB, Express Card, HDMI out	Camera 2.0 Mp		1*eSATA		
Fujitsu Lifebook U772-RM (VFY:U7720MF061HU) Notebook	244900 Ft	14.0", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		32GB SSD + 500GB/7200 HDD, SSD	Intel GMA HD Graphics 4000	1,4 kg, 327 x 225 x 15.6 mm	3 év garancia	4 cella, 10 óra átlagos üzemidő, 3150mAh		Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, Ujjlenyomat olvasó, HDMI out	HD-minőségű webkamera (1280x800)				
Dell Inspiron 7720 (INSP7720-3) Notebook	244900 Ft	17,3", 1920x1080 Full HD, LED, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1600MHz		1 TB, SATA-2	NVidia GeForce GT 650M 2GB	3,3 kg, 416,8 mm x 276 mm x elöl 31,9 mm / hátul 37,37 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		Waves MaxxAudio 4 hangrendszer		
Lenovo ThinkPad T430i (N1T52HV) Notebook	245900 Ft	14.0", 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	NVIDIA NVS 5400M 1GB	2,2 kg, 350.5mm x 232mm x 29.9mm	3 év garancia	6 cella, 9 óra átlagos üzemidő, 57WHr	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	Camera 2.0 Mp		eSATA		
Lenovo ThinkPad T530 (N1B3RHV) Notebook	246900 Ft	15,6" HD LED, 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Nvidia Quadcro NVS5400M 1GB	2,6 kg, 372,8 x 245,1 x 31,8-35,6 mm	3 év garancia	6 cella, 7,5 óra átlagos üzemidő, 57WHr	DVD +/- RW	Windows 7 Professional 64 bit	10/100/1000, Intel WiFi Link 1000 BGN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	720p HD webkamera		eSATA		
Dell Latitude E6330 (L066330104E_SPL) Notebook	246900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	1,6 kg, 335 mm x 223,3 mm x (elöl/hátul) 25,4 mm – 30,1 mm	4 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, mini HDMI	HD Webkamera		eSATA		
Fujitsu Lifebook UH572-RMPS3 (VFY:UH572MF021HU) Notebook	248900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		128GB SSD, SSD	Intel GMA HD Graphics 4000	1,6 kg, 323 x 234 x 18,0 mm	2 év garancia	4 cella, 7,5 óra átlagos üzemidő, 42 Wh		Windows 7 Professional 64 bit	10/100, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	3 USB 2.0, 1 USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, Ujjlenyomat olvasó, HDMI out	HD-minőségű webkamera (1280x800)				
Lenovo ThinkPad EDGE E530(NZQBEHV) Notebook	249900 Ft	15,6", 1600*900, 16:9	Intel Core i7, -3612QM 2.10GHz / 6MB Cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	Nvidia GeForce GT 630M 2GB	2,5 kg, 377 x 245mm x 29.5-35.3mm	1 év garancia	6 cella, 5,5 óra átlagos üzemidő, 62.4WHr	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel WiFi Link 2x2 BGN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	720p HD webkamera				
Fujitsu Lifebook P702-M3 (LKN:P702XM0004HU) Notebook	249900 Ft	12,1'', 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		320 GB/7200rpm, SATA-2	Intel Graphics 3000 HD	1,5 kg, 283 x 215 x 25 (első) / 32 (hátsó) mm	3 év garancia	6 cella, 13 óra átlagos üzemidő		Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	3 USB 2.0, 1 USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, Dokkolható, ExpressCard	HD-minőségű webkamera (1280x800)		G-Sensor		
Toshiba Satellite P755-12G Notebook	250900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -2670QM 2.2GHz/6MB Cache	8 GB, DDR3 1333MHz		500 GB + 4GB FLASH, Hibrid Drive	Nvidia GeForce GT 540M 2GB	2,6 kg, 380,5 x 254,0 x 30,0 (elöl)/37,6 (hátul) mm	2 év garancia	6 cella, 3 óra átlagos üzemidő	BluRay író, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, HDMI out	Camera 1.3MPix		eSATA		
Toshiba Portégé Z830-10H Notebook	250900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -2467M (1.6GHz 4MB cache)	4 GB, DDR3 1333MHz		128GB SSD, SSD	Intel Graphics 3000 HD	1,1 kg, 316,0 x 227,0 x 8,3 (elöl)/15,9 (hátul) mm	3 év garancia	8 cella, 8 óra átlagos üzemidő		Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, UMTS/HSPA	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Dell Latitude E6520 (DE6520-25204GB5003Y-6670) Notebook	257900 Ft	15,6", 1600*900, 16:9	Intel Core i5, -2520M (2,5Ghz, 3MB cache, 1333Mhz FSB)	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,5 kg, 384 mm x 258 mm x 28,3 mm elöl / 34,2 mm hátul	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	4 db USB 2.0 port, Bluetooth 3.0 High Speed , Médiakártya-olvasó , IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	Camera 2.0 Mp		eSATA		
Lenovo ThinkPad T430 (N1T55HV) Notebook	258900 Ft	14,1'', 1600*900, 16:9	Intel Core i5, -3320M 2,6GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,2 kg, 340mm x 229.8mm x 29.9-30.4mm	3 év garancia	6 cella, 9 óra átlagos üzemidő, 57WHr	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	Camera 2.0 Mp		eSATA		
Fujitsu Lifebook P702-M3 (LKN:P702XM0003HU) Notebook	258900 Ft	12,1'', 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1600MHz		320 GB, SATA-2	Intel Graphics 3000 HD	1,5 kg, 283 x 215 x 25 (első) / 32 (hátsó) mm	3 év garancia	6 cella, 13 óra átlagos üzemidő		Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	3 USB 2.0, 1 USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, Dokkolható, ExpressCard	HD-minőségű webkamera (1280x800)		G-Sensor		
Lenovo ThinkPad T530 (2429CTO) Notebook	258900 Ft	15,6", 1600*900, 16:9	Intel Core i5, -3320M 2,6GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 372.8mm x 245.1mm x 31.8-35.6mm	3 év garancia	6 cella, 9 óra átlagos üzemidő, 57WHr	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, Intel WiFi Link 1000 BGN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	720p HD webkamera				
Hewlett Packard HP Folio¹³ Notebook	263900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -2467M (1.6GHz 4MB cache)	4 GB, DDR3 1333MHz		128GB SSD, SATA-2	Intel Graphics 3000 HD	1,5 kg, 22.02 x 31.85 x 1.8 cm	1 év garancia	6 cella, 5 óra átlagos üzemidő, 59WHr	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11 a/b/g WLAN	3 USB 2.0, 1 USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	Camera 1.3MPix				
Lenovo ThinkPad x230 (NZA2VHV) Notebook	265900 Ft	12,5", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel Graphics 3000 HD	1,5 kg, 305.0mm x 206.5mm x 19-34.6mm	3 év garancia	6 cella, 10 óra átlagos üzemidő, 62.4WHr		Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, Dokkolható, ExpressCard	720p HD webkamera				
Lenovo ThinkPad T430 (N1T54HV) Notebook	268900 Ft	14.0", 1600*900, 16:9	Intel Core i5, -3320M 2,6GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	NVIDIA NVS 5400M 1GB	2,2 kg, 350.5mm x 232mm x 29.9mm	3 év garancia	6 cella, 9,5 óra átlagos üzemidő, 57WHr	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	720p HD webkamera		eSATA		
Toshiba Portégé R830-113 Notebook	269900 Ft	13,3", 1366x768, 16:9	Intel Core i7, -2620M 2.70GHz / 3MB cache / Dual Core	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	1,6 kg, 316,0 x 227,0 x 18,3 (elöl) / 44,1 (hátul) mm	3 év garancia	9 cella, 12 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, HSDPA	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, Ujjlenyomat olvasó, Toshiba Hi-Speed Port Replicator II porttöbszörözőhöz, HDMI out	Camera 1.3MPix		eSATA		
Dell Latitude E6330 (L066330102E_SPL) Notebook	270900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3320M 2,6GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	1,6 kg, 335 mm x 223,3 mm x (elöl/hátul) 25,4 mm – 30,1 mm	3 év garancia	6 cella, 60 Wh-s	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, mini HDMI	HD Webkamera		eSATA		
Dell Precision M4600 (M4600-13) Notebook	272900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i5, -2520M (2,5Ghz, 3MB cache, 1333Mhz FSB)	4 GB, DDR3 1333MHz		750 GB/7200rpm, SATA-2	AMD/ATI FirePro M5950 Mobility Pro 1GB GDDR5	2,8 kg, 376 mm x 256 mm x 32,7–36,8 mm	3 év garancia	6 cella, 60 Wh-s	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, Intel Centrino Ultimate-N 6300 3x3	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 10 in 1 kártyaolvasó, IEEE1394 firewire , DSUB + Display port, Dokkolható, ExpressCard, HDMI out	Camera 2.0 Mp		eSATA		
Lenovo Ideapad Y580 (59-349188) Notebook	279900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -3630QM 2.40GHz / 6M Cache	8 GB, DDR3 1600MHz		32GB SSD + 1TB HDD, SSD	NVIDIA Geforce GTX 660M 2GB	2,8 kg, 385*255*36mm	2 év garancia	6 cella, 5 óra átlagos üzemidő	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 6 in 1 kártyaolovasó, HDMI out	Camera 2.0 Mp				
Fujitsu Lifebook S762-M3 (VFY:S7620MF011HU) Notebook	282900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1600MHz		32GB SSD + 320GB/7200 HDD, SSD	Intel GMA HD Graphics 4000	1,8 kg, 321 x 228 x 27,1-35,5 mm	3 év garancia	6 cella, 12 óra átlagos üzemidő	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó	HD-minőségű webkamera (1280x800)		G-Sensor, eSata port		
Lenovo ThinkPad T530 (N1B3SHV) Notebook	286900 Ft	15,6", 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		128GB SSD, SSD	NVIDIA NVS 5400M 1GB	2,6 kg, 372.8mm x 245.1mm x 31.8-35.6mm	3 év garancia	6 cella, 9 óra átlagos üzemidő, 57WHr	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, Intel WiFi Link 1000 BGN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	720p HD webkamera				
Asus G55VW-S1142V Notebook	286900 Ft	15,6", 1920x1080 Full HD, LED, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	8 GB, DDR3 1600MHz		750GB, SATA-2	NVIDIA Geforce GTX 660M 2GB	3,8 kg, 384 x 299 x 20 ~51 mm	2 év garancia	8 cella, 5200mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, Mini D-sub 15-pin, HDMI out	Camera 1.3MPix				
Dell Inspiron 7720 (INSP7720-5) Notebook	296900 Ft	17,3", 1920x1080 Full HD, LED, 16:9	Intel Core i7, -3610QM 2.30 GHz / 6M Cache	8 GB, DDR3 1600MHz		2 x 750 GB, SATA-2	NVidia GeForce GT 650M 2GB	3,3 kg, 416,8 mm x 276 mm x elöl 31,9 mm / hátul 37,37 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		Waves MaxxAudio 4 hangrendszer		
Fujitsu Lifebook U772-RMS3 (VFY:U7720MF081HU) Notebook	297900 Ft	14.0", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		128GB SSD, SSD	Intel GMA HD Graphics 4000	1,4 kg, 327 x 225 x 15.6 mm	3 év garancia	4 cella, 10 óra átlagos üzemidő, 3150mAh		Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, Ujjlenyomat olvasó, HDMI out	HD-minőségű webkamera (1280x800)				
Fujitsu Lifebook S781 (VFY:S7810MPX01HU) Notebook	298900 Ft	14.0", 1366x768, 16:9	Intel Core i7, -2640M vPro 2.8GHz / 4MB cache	4 GB, DDR3 1333MHz		128GB SSD, SSD	Intel GMA HD	2,3Kg, 340 x 245 x 35 mm	3 év garancia	6 cella, 10 óra átlagos üzemidő, 5600mAh	DVD +/- RW, Super Multi	Windows 7 Professional	10/100/1000, 802.11.b/g/n WLAN, van, UMTS	3 USB 2.0, 1 USB 3.0, Bluetooth 3.0 High Speed , SD kártyaolvasó, IEEE1394 firewire , DSUB + Display port, Ujjlenyomat olvasó, ExpressCard slot 34/54, Smart Card slot, Sim card slot	Camera 1.3MPix		eSATA		
Samsung NP900X3C-A01HU Notebook	300900 Ft	13,3", 1600*900, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		128GB SSD, SSD	Intel GMA HD Graphics 4000	1,2 kg, 313,8 x 218,5 x 12,9 mm	3 év garancia	6 cella, 4000 mAh		Windows 7 Home Premium Magyar 64bit	10/100/1000, Intel Centrino Advanced-N 6235, 2 x 2 802.11abg/n	1 x USB 3.0 + 1 x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, micro HDMI	Camera 1.3MPix				
Fujitsu Lifebook U772-SM3 (VFY:U7720MF021HU) Notebook	301900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		32GB SSD + 500GB HDD, SSD	Intel GMA HD Graphics 4000	1,4 kg, 327 x 225 x 15.6 mm	3 év garancia	4 cella, 10 óra átlagos üzemidő, 3150mAh		Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, Ujjlenyomat olvasó, HDMI out	HD-minőségű webkamera (1280x800)		G-Sensor		
Dell Latitude E6330 (L066330103E_SPL) Notebook	302900 Ft	13,3", 1366x768, 16:9	Intel Core i7, -3520M 2,9GHz / 64 bit / 4 MB Level 3 cache / 35 Watt	8 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	1,6 kg, 335 mm x 223,3 mm x (elöl/hátul) 25,4 mm – 30,1 mm	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, mini HDMI	HD Webkamera		eSATA		
Fujitsu Lifebook U772-RMS3 (LKN:U7720M0011HU) Notebook	303900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	8 GB, DDR3 1600MHz		128GB SSD, SSD	Intel GMA HD Graphics 4000	1,4 kg, 327 x 225 x 15.6 mm	3 év garancia	4 cella, 10 óra átlagos üzemidő, 3150mAh		Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, Ujjlenyomat olvasó, HDMI out	HD-minőségű webkamera (1280x800)		G-Sensor		
Dell XPS 13 (XPSL321X-3) Notebook	312900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -2467M (1.6GHz 4MB cache)	4 GB, DDR3 1333MHz		128GB SSD, SSD	Intel Graphics 3000 HD	1,4 kg, 6–18 mm / 316 mm / 205 mm	3 év garancia	6 cella, 8,5 óra átlagos üzemidő, 47Wh		Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6230 (2x2 b/g/n)	1 x USB 3.0 + 1 x USB 2.0, Bluetooth 3.0 High Speed , Mini DisplayPort, Dokkolócsatlakozó	Camera 1.3MPix		Waves MaxxAudio 4 hangrendszer		
Hewlett Packard HP EliteBook 2560p (LG668EA) Notebook	314900 Ft	12,5", 1366x768, 16:9	Intel Core i7, -2620M 2.70GHz / 3MB cache / Dual Core	4 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	1,7 kg, 30,52 x 20,9 x 2,74 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 55Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, Multi in 1kártyaolvasó, DSUB, Ujjlenyomat olvasó, Express Card, HDMI + DisplayPort	Camera 2.0 Mp		eSATA		
Lenovo ThinkPad T430 (N1T56HV) Notebook	320900 Ft	14,1'', 1600*900, 16:9	Intel Core i7, -3520M 2,9GHz / 64 bit / 4 MB Level 3 cache / 35 Watt	8 GB, DDR3 1600MHz		500 GB, SATA-2	NVIDIA NVS 5400M 2GB	2,2 kg, 350.5mm x 232mm x 29.9mm	3 év garancia	9 cella, 94WHr	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	Camera 2.0 Mp		eSATA		
Hewlett Packard HP EliteBook 8460p (LG745EA) Notebook	321900 Ft	14,1'', 1600*900, 16:9	Intel Core i7, -2620M 2.70GHz / 3MB cache / Dual Core	4 GB, DDR3 1333MHz		320 GB, SATA-2	ATI Radeon HD 6470M 1GB DDR3	2,1 kg, 33,8 x 23,13 x 3,18 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 55Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	2 USB 2.0, 2 USB 3.0, Bluetooth 2.1, 6 in 1 kártyaolovasó, IEEE1394 firewire , DSUB, Express Card, DisplayPort	Camera 2.0 Mp		eSATA		
Fujitsu Lifebook P772-M3 (VFY:P7720MPZA1HU) Notebook	321900 Ft	12,1'', 1366x768, 16:9	Intel Core i5, -3320M 2,6GHz / 3M Cache	4 GB, DDR3 1600MHz		320 GB, SSD	Intel GMA HD Graphics 4000	1,5 kg, 282 x 215 x 31 mm	3 év garancia	6 cella, 13 óra átlagos üzemidő		Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, Ujjlenyomat olvasó, Dokkolható, ExpressCard, DisplayPort	HD-minőségű webkamera (1280x800)		G-Sensor		
