TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Kategória	Chipset	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	USB 3	SSD	Extra
Sony Vaio VPCSB4L1E 13,3" Alumínium	182992 Ft	13,3 " (1366 x 768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	1,7 kg	2 év		DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	Intel® HM67 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, SDXC, MS Pro	10/100/1000 Mb/s	2 db	224x331x23,9 mm	1 db			
Dell Latitude E5430 HD+ Ci5-3210M 4GB 500GB	172126 Ft	14 " (1600x900 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	2,14 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, ExpressCard 54mm, FireWire, HDMI	SD	10/100/1000 Mb/s	2 db	350x240x29,90–32,5 mm	2 db			
Acer Aspire One AO725-C6C Kék	61709 Ft	11,6 " (1366x768 pixel)	Nem	AMD C Series C-60 (1 GHz, 1 MB cache)	2048 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6290	1,3 kg	2 év	4 cellás	Nincs	Linux	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem			10/100 Mb/s	3 db					
Acer Aspire One D756-877B2BB Kék	85906 Ft	11,6 " (1366 x 768 pixel)	Nem	Intel Celeron Dual-Core 877 (1,4 GHz, 2 MB cache)	2048 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	1,38 kg	2 év	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Netbook	Intel® NM10 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, MMC	10/100 Mb/s	3 db	285 x 202 x 25.9 mm				
Samsung NP350V5C-S02HU	152992 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	6144 MB DDR III 1333 MHz	Nem	750 GB 5400 rpm SATA	Intel HD Graphics 4000	2,5 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC	10/100/1000 Mb/s	2 db	372.5 x 243.0 x 33.0 mm	2 db			
Asus Zenbook UX31A-R4003V 13.3"	322362 Ft	13,3 " (1920x1080 pixel)	Nem	Intel Core i7 3517U (1,9 GHz, 4 MB cache)	4096 MB DDR III 1600 MHz	Nem	256 GB Nincs rpm SSD	Intel HD Graphics 4000	1,3 kg	2 év	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Ultrabook	Intel ® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Micro HDMI, Mini VGA, USB 3.0	SD	10/100 Mb/s		325x223x3~18 mm	2 db			
Lenovo ThinkPad T420s NV57BHV	253701 Ft	14 " (1600x900 pixel)	Nem	Intel Core i5 2540M (2,6 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics	1,67 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobile Intel QM67 Express	HD Audio	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, Display Port, D-Sub, ExpressCard 34mm, USB, USB 3.0	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	2 db	343 x 230,1 x 21,2-26 mm	1 db			
Dell Vostro 3460 Ci7-3612 8GB 750GB Linux Piros	214409 Ft	14 " (1366x768 pixel)	Nem	Intel Core i7 3612 (2,1 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	750 GB 7200 rpm SATA	NVIDIA GeForce GT 630M	2,23 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s		345,5x244x28-30,1 mm	4 db			
HP Pavilion G6-2030SH B4H59EA	142913 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	640 GB 5400 rpm SATA	Intel HD Graphics 3000	2,48 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	Intel HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100 Mb/s	1 db	376 x 244 x 36,3 mm	2 db			
Dell Inspiron 5720 HD+ Ci5-3210M 4GB 500GB szerviz	138898 Ft	17,3 " (1600x900 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	3,28 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		416,8 x 276 x 31,9/37,37 mm	4 db			
Dell Inspiron 5520 HD Ci5-3210M 4GB 1TB Kék	145276 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Dell Inspiron 5520 HD Ci3-2370M 4GB 1TB Ezüst	143071 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		378 x 252 x 30-34 mm	4 db			
Acer Aspire AS5750Z-B964G75MNKK	90157 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	4096 MB DDR III 1066 MHz	Nem	750 GB 5400 rpm SATA	Intel HD Graphics	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100/1000 Mb/s	3 db	381,6 x 253 x 25,2-33,2 mm				
Dell Inspiron 7720 FHD Ci5-3210M 4GB 750GB GT650	185039 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 650M	3,28 kg	3 év	6 cellás	DVD+-RW DL	Linux	Multimédia	Intel HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		417 x 276 x 32 - 37 mm	4 db			
Dell Vostro 3460 Ci5-3210M 6GB 500GB W7HP 3G Ezüst	212835 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	6144 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	2,232 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Igen	3,5 Jack, D-Sub, ExpressCard 34mm, USB 3.0, HDMI		10/100/1000 Mb/s		345,5 x 244 x 28-30,1 mm	4 db			
Lenovo IdeaPad S400 59-350207	115591 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 2365M (1,4 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7450M	1,8 kg	2 év	4 cellás	Nincs	Free DOS	Általános	Mobile Intel® HM77 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	336,6 x 241,2 x 22 mm	1 db			
Asus A54HR-SX091D 15,6"	96929 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7470M	2,6 kg	2 év	4 cellás	DVD+-RW DL	Free DOS	Általános	Mobile Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, MMC, MS, MS Pro	10/100/1000 Mb/s	1 db	380 x 255 x 34,5 ~ 35,7 mm	1 db			
Lenovo ideaPad Z570Am (59-310360) 15,6"	141024 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2330M (2,2 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 520M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	Intel HM65	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, HDMI	SD, XD, MMC, MS Pro	10/100/1000 Mb/s	3 db	376 x 250 x 20-35 mm				
Acer Aspire V3-551G-84508GG75Makk_Lin Szürke	139606 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A8-4500M (2,8 GHz, 4 MB cache)	8192 MB DDR III MHz	Nem	750 GB 5400 rpm SATA	AMD Radeon HD 6670M	2,4 kg	2 év	6 cellás	DVD+-RW DL	Linux	Multimédia		HD Audio	Nem	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db		1 db			
Dell Vostro 3360 Ci3-2367 4GB 320GB Ezüst	152362 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i3 2367M (1,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 3000	1,67 kg	3 év	4 cellás	Nincs	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		332 x 232,5 x 18,6/19,2 mm	3 db			
Dell Inspiron 5720 HD+ Ci3-2370M 4GB 500GB Linux	131102 Ft	17,3 " (1600x900 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	3,28 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		416,8 x 276 x 31,9/37,37 mm	4 db			
Asus X54HY-SO065D	111181 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B950 (2,1 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Igen	500 GB 5400 rpm SATA	AMD Radeon HD 6470M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100/1000 Mb/s	1 db	378 x 253 x 35,6-37,2 mm	1 db			
Lenovo ThinkPad T530 FHD i7-3720QM 8GB 180GB SSD	462362 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 3720QM (2,6 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	180 GB Nincs rpm SSD	NVIDIA Quadro NVS 5400M	2,5 kg	3 év	9 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby® Advanced Audio® 2.0	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, Mini Display Port, USB, USB 3.0	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	245.1x372.8x31.8-35.6 mm	2 db			
Asus X55U-SX007V 15,6"	81890 Ft	15,6 " (1366x768 pixel)	Nem	AMD C Series C-60 (1 GHz, 1 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6290	2,45 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	AMD A68M	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, Mini VGA, USB, USB 3.0, HDMI	SD, MMC	10/100/1000 Mb/s	1 db	378x253x26,2~31,9 mm	1 db			
Acer Aspire One 756-987BCRR 11,6" Piros	78819 Ft	11,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core B987 (1,5 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	1,38 kg	2 év	4 cellás	Nincs	Linux	Netbook	HM70 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, USB, HDMI	SD, MMC	10/100 Mb/s	3 db	285x202x27,4 mm				
Sony Vaio VPC-CA4S1E 14" Zöld	166457 Ft	14 " (1366 x 768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	640 GB 5400 rpm SATA	AMD Radeon HD 6470M	2,45 kg	2 év		DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia	Intel® HM65 Express	Dolby® Home Theater® v4	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MS Pro	10/100/1000 Mb/s	3 db	235x341x27,9 mm	1 db			
Lenovo IdeaPad S300 59-350170	158189 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	1,8 kg	2 év	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Általános	Mobile Intel® HM77 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	330 x 230 x 22,4 mm	1 db			
Acer Aspire V3-471G-53214G75BDCakk Fekete-ezüst	174173 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	2,26 kg	2 év	6 cellás	Blu-Ray olvasó + DVD SuperMulti	Windows 7 Home Premium 64 bit	Multimédia		HD Audio	Nem	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	343 x 245 x 33,4 mm	1 db			
Asus N56VM-S4222V	257480 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	6144 MB DDR III 1600 MHz	Nem	1024 GB 7200 rpm SATA	NVIDIA GeForce GT 630M	2,7 kg	2 év	6 cellás	Blu-Ray olvasó + DVD SuperMulti	Windows 7 Home Premium 64 bit	Multimédia	Intel® HM76	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, MMC, MS, MS Pro	10/100/1000 Mb/s		380x255x27,3 ~34 mm	4 db			
Dell Vostro 3460 Ci7-3612 8GB 750GB Linux Bronz	214646 Ft	14 " (1366x768 pixel)	Nem	Intel Core i7 3612QM (2,1 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	750 GB 7200 rpm SATA	NVIDIA GeForce GT 630M	2,23 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s		345,5x244x28-30,1 mm	4 db			
Acer AS7750G-6324G75MN 17.3" (NX.RWCEU.001)	151024 Ft	17,3 " (1600x900 pixel)	Nem	AMD A Series A6-3420M (1,5 GHz, 4 MB cache)	4096 MB DDR III 1066 MHz	Nem	750 GB 5400 rpm SATA	AMD Radeon HD 7670M	3,3 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia	AMD A70M Fusion™	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	415x275x35 mm	1 db			
Lenovo IdeaPad G575GL (59-345827) 15,6"	80079 Ft	15,6 " (1360x768 pixel)	Nem	AMD E Series E300 (1,3 GHz, 1 MB cache)	2048 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6310	2,6 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia		HD Aduio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB	SD, MMC	10/100 Mb/s	4 db	376,8x249,8x17,3~34,9 mm				
Asus X55U-SX035D 15,6"	77787 Ft	15,6 " (1366x768 pixel)	Nem	AMD E Series E450 (1,65 GHz, 1 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6320	2,45 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	AMD A68M	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, Mini VGA, USB, USB 3.0, HDMI	SD, MMC	10/100/1000 Mb/s	1 db	378x253x26,2~31,9 mm	1 db			
Dell Vostro 3360 Ci7-3517 4GB 320GB HD4000 Ezüst	192992 Ft	13,3 " (1366 x 768 pixel)	Nem	Intel Core i7 3517 (1,9 GHz, 4 MB cache)	4096 MB DDR III 1600 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 4000	1,67 kg	3 év	4 cellás	Nincs	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI		10/100/1000 Mb/s		332x232,5x18,6-19,2 mm	3 db			
Acer AS5750ZG-B954G50MNKK 15.6" (LX.RM10C.031)	93543 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B950 (2,1 GHz, 2 MB cache)	4096 MB DDR III 1066 MHz	Igen	500 GB 5400 rpm SATA	NVIDIA GeForce GT 520M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	3 db	381 x 253 x 25/34 mm				
Packard Bell Easynote TS-F4211-HR-456HG	79291 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics		2 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM65	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100 Mb/s	3 db					
Apple MacBook Pro 13" Ci5 4GB 500GB HD4000 angol	309606 Ft	13,3 " (1280 x 800 pixel)	Nem	Intel Core i5 (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	2,06 kg	1 év		Nincs	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0, FireWire	SDXC	10/100/1000 Mb/s		325x227x24,1 mm	2 db			
Lenovo Thinkpad Edge E530 NZQAMBHV	107480 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B970 (2,3 GHz, 2 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,45 kg	1 év	6 cellás	DVD+-RW DL	Free DOS	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	376 x 244 x 30,5 mm	3 db			
Toshiba Portégé R830-194	213386 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 2435M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Igen	500 GB 7200 rpm SATA	Intel HD Graphics 3000	1,64 kg	3 év	9 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Igen	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s	1 db	316,0 x 227,0 x 18,3 / 44,1 mm	1 db			
Sony Vaio VPC-CA4S1E 14" Narancs	166457 Ft	14 " (1366 x 768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	640 GB 5400 rpm SATA	AMD Radeon HD 6470M	2,45 kg	2 év		DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia	Intel® HM65 Express	Dolby® Home Theater® v4	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MS Pro	10/100/1000 Mb/s	3 db	235x341x27,9 mm	1 db			
HP Pavilion G6-2018SH (B6W30EA)	137638 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A10-4600M (2,3 GHz, 4 MB cache)	4096 MB DDR III MHz	Nem	750 GB 5400 rpm SATA	AMD Radeon HD 7660G + 7670M dupla GPU	2,48 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	AMD A70M FCH	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD	10/100 Mb/s	1 db	376x244x36,3 mm	2 db			
Acer Aspire One 756-987BCkk 11,6" Fekete	78819 Ft	11,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core B987 (1,5 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	1,38 kg	2 év	4 cellás	Nincs	Linux	Netbook	HM70 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, USB, HDMI	SD, MMC	10/100 Mb/s	3 db	285x202x27,4 mm				
Lenovo IdeaPad G585G Celeron B820 4GB 500GB W7HP	100315 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,6 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium	Általános	Mobile Intel® HM76 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100 Mb/s	1 db	376 x 245x 34,3 mm	2 db			
Samsung NP300E5C-S03HU	128031 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1066 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 610M	2,3 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	Intel HM65 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC	10/100/1000 Mb/s	3 db	367,9 x 243 x 27,1~33 mm				
Acer TravelMate TM5760G-32324G50MNSK	128031 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2328M (2,2 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	2,6 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, HDMI		10/100/1000 Mb/s	3 db					
NBK Lenovo IdeaPad G580 (59-346857) 15,6"	123543 Ft																													
Fujitsu Lifebook AH552 Ci5-2450M 4GB 500GB W7P64	185039 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2,2 kg	2 év	8 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Általános	Intel® HM76	Realtek ALC269 VC2 HD	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MS, MS Pro	10/100/1000 Mb/s	3 db	378 x 252 x 25,4 mm				
