TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Méret	Szállítás		Biztonság	Mobil internet modul
HP ProBook 6460b LY437EA Notebook	195984 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		320GB SATA 7200rpm	Intel® HD Graphics 3000	33,8 x 23,1 x 3,4 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (51WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	SRS Premium Surround Sound	magyar, csepálló	56K modem, VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (3db), Express card kártyahely, Docking port ( dokkolható ), Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi), kombinált eSATA/USB 2.0, DisplayPort	2 az 1-ben kártyaolvasó, beépített HD webkamera	3 év el- és visszaszállításos (Pick Up and Return)			ujjlenyomat olvasó, TPM chip		
TOSHIBA Satellite A660-19P Notebook	196772 Ft	16" WXGA HD fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-370M 2,4GHz		320GB SATA 5400rpm	Intel® Graphics Media Accelerator HD	380,5 x 254,0 x 28,0 / 35,6 mm	nincs raktáron	6 cellás lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM55 Express	Dolby® Advanced Audio™	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), Express card kártyahely, HDMI csatlakozó, kombinált eSATA/USB 2.0, Wireless LAN 802.11 a/b/g/n (WiFi)	beépített 0,3Mpixel webkamera, Univerzális kártyaolvasó						
Dell Vostro 3560 142260 Ezüst Notebook	196772 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,57 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	Blu-ray Combo (blue-ray olvasó, DVD író/olvasó)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	375 x 259 x 28,8 - 32,5 mm	nincs raktáron		ujjlenyomat olvasó		
Dell Vostro 3560 142261 Bronz Notebook	196772 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,57 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	Blu-ray Combo (blue-ray olvasó, DVD író/olvasó)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	375 x 259 x 28,8 - 32,5 mm	nincs raktáron		ujjlenyomat olvasó		
Fujitsu Lifebook UH552 VFY:UH552MF031HU Slimbook	201496 Ft	13,3" HD WXGA LED Anti-glare TFT (1366 x 768)	Intel® Core™ i5-3317U (3M Cache, 1.70 - 2.60 GHz)		500GB SATA 5400rpm	Intel® HD Graphics 4000	323 x 234 x 18.0 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	4 cellás (42WHr) lithium-ion	opcionális külső író (nem tartozék)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	Beépített sztereó hangszórók	magyar	USB 2.0 (1db), HDMI csatlakozó, beépített 3G mobil internet modem, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	2 év					
Dell Vostro 3360 144753 Ezüst 3G Notebook	199134 Ft	13,3" HD WXGA LED Anti-glare TFT (1366 x 768)	Intel® Core™ i3-2367M (3 MB Cache, 1.40 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	332 x 232 x 18,6 - 19,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	4 cellás (49WHr) lithium-ion	opcionális külső író (nem tartozék)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, beépített 3G mobil internet modem, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS	8 az 1-ben kártyaolvasó, beépített HD webkamera	3 év helyszíni garancia					
Dell XPS 15 L502x 138395 Ezüst Notebook	203071 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		750GB SATA 7200rpm	NVIDIA® GeForce® GT 525M 1GB GDDR3	381 x 265.4 x 32.2 / 38.2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (56WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM67 Express /Sandy Bridge	HD Audio, 2speakers + subwoofer	magyar	VGA monitor kimenet, Gigabit LAN (10/100/1000), 1x mini DisplayPort, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), kombinált eSATA/USB 2.0, Bluetooth v3.0 + HS, HDMI v1.4 csatlakozó (3D támogatás)	beépített webkamera 2.0 Mpixel, 9 az 1-ben kártyaolvasó	3 év helyszíni garancia					
HP ProBook 6560b LY448EA Notebook	0 Ft	15,6" HD+ LED matt TFT 16:9 (1600 x 900)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 6470M 512MB DDR3 VRAM	37,4 x 25,1 x 3,4 cm	következő munkanapon	6cellás (51WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	56K modem, VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (4db), soros port, Express card kártyahely, Docking port ( dokkolható ), Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi), kombinált eSATA/USB 2.0, DisplayPort	2 az 1-ben kártyaolvasó, beépített HD webkamera	3 év el- és visszaszállításos (Pick Up and Return)			ujjlenyomat olvasó, TPM chip		
HP ProBook 4540s B6M12EA Notebook	205433 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		750GB SATA 5400rpm	AMD Radeon™ HD 7650M 1GB DDR3	37,5 x 25,6 x 2,8 cm	nincs raktáron	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	beépített HD webkamera, médiakártya-olvasó	3 év					
ASUS N56VM-S4073V Ezüst Notebook	0 Ft	15,6" Full HD LED fényes 16:9 (1920x1080)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		750GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 2GB DDR3	38.0 x 25.5 x 2.72 ~ 3.24 cm	következő munkanapon	6cellás (56WHr) lithium-ion	Blu-ray Combo (blue-ray olvasó, DVD író/olvasó)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	Bang & Olufsen ICEpower®	magyar, LED háttérvilágítású	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), S/PDIF, Bluetooth v4.0 + HS, USB 3.0 (4db)	3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera						
Samsung NP200B5B-A01HU Fekete Notebook	207480 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2350M (3M Cache, 2.30 GHz)		750GB SATA 5400rpm	Intel® HD Graphics 3000	370 x 248.3 x 28.6 ~ 35.3 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	HD Audio, 2 speakers	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v3.0 + HS	beépített webkamera 1.3Mpixel, 7 az 1-ben kártyaolvasó	2 év			ujjlenyomat olvasó, TPM chip		
Lenovo IdeaPad Y580 59-349171 Notebook 8GB	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-3610QM (6M Cache, 2.3 - 3.3 GHz)	8GB DDR3 1333MHz	1TB SATA 5400rpm	NVIDIA® GeForce® GTX 660M 2GB GDDR5 VRAM	2.8 kg	2 év	6 cellás lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar, LED háttérvilágítású	USB 2.0 (2db), VGA monitor kimenet, Bluetooth, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db)	6 az 1-ben kártyaolvasó, beépített HD webkamera	385 x 255 x 35.7 mm	következő munkanapon				
Acer V3-571G-736b8G1TMaii NX.RZPEU.011 Notebook	210630 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-3630QM (6M Cache, 2.4 - 3.4 GHz)	8GB DDR3 1333MHz	1000GB SATA 5400rpm	NVIDIA® GeForce® GT 640M 2GB DDR3	2,60 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)	Windows® 8	Mobile Intel® HM77 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera	382,0 - 253,0 - 33,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Vostro 3460 145134 Ezüst 3G Notebook	210945 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 4000	345,5 x 244 x 28 x 30,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, beépített 3G mobil internet modem, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	3 év helyszíni garancia					
Fujitsu Lifebook E752-E Notebook	214882 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 4000	372 x 245 x 35 mm	nincs raktáron	6 cellás lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	Realtek ALC269 HD, Sztereó	magyar, csepálló	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), soros port, Express card kártyahely, Docking port ( dokkolható ), Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), kombinált eSATA/USB 2.0, DisplayPort, Bluetooth v4.0 + HS	SD/SDHC kártyahely, Smart kártya olvasó, beépített HD webkamera	3 év			ujjlenyomat olvasó, TPM chip	Panda Antivirus Pro 2012 1 éves 1 gépre 1990Ft	
Dell Vostro 3560 142370 Ezüst Notebook	212520 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i7-3612QM (6M Cache, 2.10 - 3.10GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,57 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	375 x 259 x 28,8 - 32,5 mm	nincs raktáron				
Dell Vostro 3560 142265 Bronz Notebook	212520 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i7-3612QM (6M Cache, 2.10 - 3.10GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,57 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	375 x 259 x 28,8 - 32,5 mm	nincs raktáron				
Dell Vostro 3560 142371 Piros Notebook	212520 Ft	15,6" Full HD LED matt TFT (1920 x 1080)	Intel® Core™ i7-3612QM (6M Cache, 2.10 - 3.10GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,57 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	375 x 259 x 28,8 - 32,5 mm	nincs raktáron				
Dell Inspiron 17R SE 7720_146182 Notebook	212520 Ft	17,3" Full HD LED matt TFT 16:9 (1920 x 1080)	Intel® Core™ i7-3610QM (6M Cache, 2.3 - 3.3 GHz)		1TB SATA 5400rpm	NVIDIA® GeForce® GT 650M 2GB DDR3	3,28 kg	3 év	6cellás (48WHr) lithium-ion	Blu-ray Combo (blue-ray olvasó, DVD író/olvasó)		Mobile Intel® HM77 Express Chipset	2.1 Skullcandy hangszórók, Waves MaxxAudio® 4	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db), WiDi támogatás	8 az 1-ben kártyaolvasó, beépített HD webkamera	416,8 x 276 x 31,9 - 37,37 mm	nincs raktáron				
Lenovo ThinkPad Edge Plus S430 N3B2FHV Notebook	0 Ft	14" WXGA HD+ LED matt 16:9 (1600 x 900)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 7200rpm + 16GB SSD	NVIDIA® GeForce® GT 620M 2GB DDR3	351 x 238 x 22mm	következő munkanapon	4 cellás lítiumion (Li-Ion)	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM77 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar	Gigabit LAN (10/100/1000), Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), DisplayPort, Bluetooth v4.0 + HS, mini HDMI csatlakozó	4 az 1-ben kártyaolvasó, beépített HD webkamera				ujjlenyomat olvasó		
Samsung NP400B2B-A01HU Fekete Notebook	213780 Ft	12,5" HD WXGA matt LED TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	302.1 x 223.7 x 28.3 ~ 32.2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás 4400 mAh (Lithium-ion)	opcionális külső író (nem tartozék)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	HD Audio, 2 speakers	magyar	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v3.0 + HS	4 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	2 év			ujjlenyomat olvasó, TPM chip		
Dell Vostro 3460 141999 Ezüst Notebook	216457 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i7-3612QM (6M Cache, 2.10 - 3.10GHz)		500GB SATA 7200rpm	NVIDIA® GeForce® GT 630M 1GB DDR3	2,232 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	345,5 x 244 x 28 x 30,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Vostro 3460 142000 Bronz Notebook	216457 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i7-3612QM (6M Cache, 2.10 - 3.10GHz)		500GB SATA 7200rpm	NVIDIA® GeForce® GT 630M 1GB DDR3	2,232 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	345,5 x 244 x 28 x 30,1 mm	nincs raktáron				
Dell Vostro 3460 142001 Piros Notebook	216457 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i7-3612QM (6M Cache, 2.10 - 3.10GHz)		500GB SATA 7200rpm	NVIDIA® GeForce® GT 630M 1GB DDR3	2,232 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	345,5 x 244 x 28 x 30,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Latitude E5530 L065530102E_SPL Notebook	219291 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3320M (3M Cache, 2.60 - 3.30 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 4000	388 x 251 x 30,20 – 33,20 mm	nincs raktáron	6cellás (60WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar, LED háttérvilágítású	VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, Docking port ( dokkolható ), HDMI csatlakozó, USB 3.0 (2db), kombinált eSATA/USB 2.0, Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS	SD/SDHC kártyahely, beépített HD webkamera	3 év helyszíni garancia			ujjlenyomat olvasó	Panda Antivirus Pro 2012 1 éves 1 gépre 1990Ft	
Sony VAIO VPCF24M1E/B.EE2 Fekete Notebook	221969 Ft	16,4″ Full HD LED fényes TFT 16:9 (1920 x 1080)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		640GB SATA 5400rpm	NVIDIA® GeForce® GT 540M 2GB DDR3	387,2 x 263 x 31 mm	nincs raktáron	6cellás (48WHr) lithium-ion	Blu-ray Combo (blue-ray olvasó, DVD író/olvasó)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	Dolby® Home Theater® v4 hangrendszer	magyar, LED háttérvilágítású	VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, HDMI csatlakozó, USB 3.0 (2db), Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS	2 az 1-ben kártyaolvasó, beépített HD webkamera	2 év háztól-házig garancia					
Fujitsu Lifebook S752-M VFY:S7520MF011HU Notebook	222756 Ft	14" WXGA HD+ LED matt 16:9 (1600 x 900)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	340 x 245 x 35 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6 cellás lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	Realtek ALC269 HD, Sztereó	magyar, csepálló	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, Docking port ( dokkolható ), SIM card slot, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), kombinált eSATA/USB 2.0, DisplayPort	SD/SDHC kártyahely, Smart kártya olvasó, beépített HD webkamera	3 év			ujjlenyomat olvasó, TPM chip	Panda Antivirus Pro 2012 1 éves 1 gépre 1990Ft	
Lenovo ThinkPad T430i N1T4XHV Notebook	223228 Ft	14" WXGA HD+ LED matt 16:9 (1600 x 900)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 4000	340.5 x 232.0 x 29.8 – 29.9 m	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (57WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)	Windows7 Professional 64bit magyar / angolFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® QM77 Express Chipset	Dolby® Advanced Audio™ v2	magyar, LED háttérvilágítású	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, Docking port ( dokkolható ), 1x mini DisplayPort, USB 3.0 (2db), Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	3 év nemzetközi			ujjlenyomat olvasó, TPM chip	Panda Antivirus Pro 2012 1 éves 1 gépre 1990Ft	
HP ProBook 6560b LG658EA Notebook	0 Ft	15,6" HD+ LED matt TFT 16:9 (1600 x 900)	Intel® Core™ i5-2520M (3M Cache, 2.5 - 3.2GHz)		500GB SATA 7200rpm	AMD Radeon™ HD 6470M 512MB DDR3 VRAM	37,4 x 25,1 x 3,4 cm	következő munkanapon	6cellás (55WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Professional magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (4db), Express card kártyahely, Docking port ( dokkolható ), beépített 3G mobil internet modem, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi), kombinált eSATA/USB 2.0, DisplayPort	2 az 1-ben kártyaolvasó, beépített HD webkamera	3 év el- és visszaszállításos (Pick Up and Return)			ujjlenyomat olvasó, TPM chip		
Samsung NP700Z3A-S01HU Alu Notebook	223543 Ft	14" WXGA HD+ LED matt 16:9 (1600 x 900)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		1000GB SATA 5400rpm + 8GB ExpressCache	AMD Radeon™ HD 6490M 1GB GDDR5	325 x 226 x 23.7 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	8cellás (65 WHr) Lithium-Ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	HD Audio, 2 speakers	magyar, LED háttérvilágítású	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v3.0 + HS	4 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	2 év					
