TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	LAN	WLAN	BT	HSDPA	TV ki	Audio	VGA ki	HDMI	DP	FP	Kamera	CR	ExpressCard	FW	eSata	USB	Egyéb	Méret
Lenovo ThinkPad X230i Tablet N1Z2PHV	257401 Ft	12.5" WXGA HD-LED Multi-Touch 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	320GB 7200RPM SATA	Intel® GMA HD 4000	1.66kg	36 hónap	5700 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® QM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nem	http://www.youtube.com/watch?v=WQUrCVP2kHM&feature=youtu.be	HD Audio, Realtek® ALC3202 codec	Van	Nincs	Van	Van	720p HD webcam	4in1 Card reader	Van	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nem	305.0 x 228.7 x 27 - 31.3mm	
LENOVO ThinkPad T530 N1B3RHV	257401 Ft	15.6" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	NVIDIA® Quadro NVS 5400M 1024MB	2.45kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile QM77	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=kBGy9_E5uBE	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Van	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	Nincs	372.8 x 245.1 x 31.8-35.6mm	
Dell Latitude E6220 131725	265275 Ft	12.5" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2520M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1333 MHz	320GB 7200RPM SATA	Intel® GMA HD 3000	1.4kg	36 hónap	5200 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® QM67 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Dell Bluetooth 375	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader, SmartCard olvasó	Van	Van	Van	3db USB 2.0	Dokkolócsatlakozó, Backlit keyboard	309 x 226 x 24.7 mm	
Sony Vaio VPCSE2F1E/S White	259763 Ft	15.6" FULL HD-LED GlareType 1980x1080 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	640GB 5400RPM SATA	AMD Radeon™ HD6630 1024MB	1.96kg	24 hónap helyszíni garancia	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	Intel® HM67 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Belső sztereó hangfalak, Dolby kodek: Dolby® Home Theater® v4	mini VGA	Van	Nincs	Nincs	1,31 megapixel, Valós pixelszám:1280 x 1024	2in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Backlight keyboard, Ház anyaga: Magnézium; Alumínium kéztámasz, Dokkolható	225,9 x 24,5 x 380mm	
TOSHIBA Satellite P755-12G	262913 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-2670QM Processor (6M Cache, 2.20 GHz)	8GB DDR3/1333 MHz	500GB 7200RPM SATA	NVIDIA® GeForce® GT 540M / 2048MB DDR3 VRAM	2.6kg	24 hónap	4400 mAh (Lithium-ion)	Blu-ray író	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	1.3 Megapixeles Webkamera mikrofonnal	5in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0 - 1db USB 3.0	Nem	380,5 x 254,0 x 30,0-37,6 mm	
FUJITSU Lifebook P702-M	263700 Ft	12.1" WXGA LED AntiGlare (matt kijelző) 1280x800 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	320GB 7200RPM SATA	Intel® GMA HD 4000	1.48kg	36 hónap	5800 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	RealTek ALC260	Van	Nincs	Van	Van	1.3MPixel HD	2in1 Card reader	Van	Nincs	Nincs	3db USB 2.0, 1db USB 3.0	SmartCard reader, Docking port, TPM module, Anytime USB Charge	283 x 215 x 25 / 32 mm	
DELL Vostro 3460 142002 Silver	275511 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i7-3612QM Processor (6M Cache, up to 3.10 GHz) BGA	8GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	NVIDIA® GeForce® GT 630M 1024MB	2.3kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nincs	3db USB 3.0	Backlit keyboard	345,5 x 244 x 28/30,1 mm	
TOSHIBA Portege R830-113	266850 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i7-2620M Processor (4M Cache, 2.70 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 3000	1.6kg	36 hónap	5600 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	UMTS/3G (HSDPA 14,4 Mb/s, HSPA Evolution 21 Mb/s, illetve HSUPA 5,76 Mb/s átviteli sebességig)	Nem	SRS Premium Surround Sound	Van	Nincs	Van	Van	beépített VGA-felbontású webkamera beépített mikrofonnal	4in1 Card reader	Nincs	Nincs	eSATA/USB 2.0 USB Sleep-and-Charge technológiával	2db USB 2.0 - 1db USB 3.0	Nem	316 x 227 x 18.3-44.1 mm	
LENOVO ThinkPad T430 N1T5AHV	269212 Ft	14.1" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	Intel® GMA HD 4000	2.17kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile QM77	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=kBGy9_E5uBE	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Van	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	Nincs	340.5 x 232.0 x 29.8–29.9mm	
FUJITSU Lifebook P701XM 002HU 3G + dokkoló	270787 Ft	12.1" WXGA LED AntiGlare (matt kijelző) 1280x800 pixel	Intel® Core™ i5-2520M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® Graphics Media Accelerator HD	1.5kg	36 hónap	5800 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	3G/UMTS modem	Nem	RealTek ALC260	Van	Nincs	Van	Van	1.3MPixel HD	2in1 Card reader	Van	Nincs	Nincs	3db USB 2.0	SmartCard reader, Docking port + port replikátor	283 x 215 x 26 - 33 mm	
LENOVO ThinkPad T430 N1T55HV	273149 Ft	14.1" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3320M Processor (3M Cache, up to 3.30 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.17kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile QM77	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=kBGy9_E5uBE	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Van	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	Nincs	340.5 x 232.0 x 29.8–29.9mm	
ASUS Zenbook UX32VD-R4002V	275511 Ft	13.3" FULL HD-LED GlareType 1920x1080 pixel	Intel® Core™ i7-3517U Processor (4M Cache, up to 3.00 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA + 24GB ExpressCache	NVIDIA® GeForce® GT 620M 1024MB	1.45kg	24 hónap	6570 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	Bang & Olufsen ICEpower®	Van	Van	Nincs	Nincs	0,3MPixel - 640x480 felbontással	2in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	ASUS notebook védőtok, Backlight keyboard	326 x 223 x 5,5 / 18 mm	
Fujitsu Lifebook U772 MF061HU Red	275511 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	32GB SSD + 500Gb SATA 5400RPM	Intel® GMA HD 4000	1.4 kg	36 hónap	3150 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	DTS Boost™ - Nagy felbontású hangszolgáltatás támogatása	Nincs	Van	Nincs	Nincs	HD webcam	4in1 Card reader	Nincs	Nincs	Nem	2db USB 3.0, 1db USB 2.0	Nem	327 x 225 x 15.6 mm	
Lenovo ThinkPad X230 NZA2VHV	275511 Ft	12.5" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	1.5kg	36 hónap	5700 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® QM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nem	http://www.youtube.com/watch?v=WQUrCVP2kHM&feature=youtu.be	HD Audio, Realtek® ALC3202 codec	Van	Nincs	Van	Van	720p HD webcam	4in1 Card reader	Van	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	UltraBase dokkoló, Ultrabay DVDRW	305 x 206.5 x 19 - 26.6mm	
Dell Latitude E6330 146312	276299 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3320M Processor (3M Cache, up to 3.30 GHz	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	1.7kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® QM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader, SmartCard olvasó	Van	Nincs	Van	3db USB 2.0	Dokkolócsatlakozó, Backlit keyboard	335 x 223,3 x 25.4-20.1 mm	
FUJITSU Lifebook P702-M3	279448 Ft	12.1" WXGA LED AntiGlare (matt kijelző) 1280x800 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	320GB 7200RPM SATA	Intel® GMA HD 4000	1.48kg	36 hónap	5800 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	UMTS/3G	Nem	RealTek ALC260	Van	Nincs	Van	Van	1.3MPixel HD	2in1 Card reader	Van	Nincs	Nincs	3db USB 2.0, 1db USB 3.0	SmartCard reader, Docking port, TPM module, Anytime USB Charge	283 x 215 x 25 / 32 mm	
Sony Vaio S VPCSA3Q9E/XI Black	279999 Ft	13.3" WXGA HD+ LED GlareType 1600x900 pixel	Intel® Core™ i7-2640M Processor (4M Cache, 2.80 GHz)	4GB DDR3/1333 MHz	128GB Solid State Drive (SSD)	AMD Radeon™ HD6630 1024MB	1.72kg	24 hónap helyszíni garancia	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Professional 64Bit	Intel® HM67 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	WWAN/3G	Nem	Belső sztereó hangfalak, Dolby kodek: Dolby® Home Theater® v4	Van	Van	Nincs	Van	1,31 megapixel, Valós pixelszám:1280 x 1024	2in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Backlight keyboard, Ház anyaga: Magnézium; Alumínium kéztámasz	225 x 24 x 331mm	
Dell Latitude E6530 146309	290472 Ft	15.6" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3320M Processor (3M Cache, up to 3.30 GHz	6GB DDR3/1600 MHz	750GB 7200RPM SATA	Intel® GMA HD 4000	2.5kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® QM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader	Van	Van	Van	2db USB 2.0 - 2db USB 3.0	Backlit keyboard	384 x 258 x 28-34.2 cm	
Fujitsu Lifebook U772 MF021HU	299133 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	32GB SSD + 500Gb SATA 5400RPM	Intel® GMA HD 4000	1.4 kg	36 hónap	3150 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	UMTS/3G	Nem	DTS Boost™ - Nagy felbontású hangszolgáltatás támogatása	Nincs	Van	Nincs	Nincs	HD webcam	4in1 Card reader	Nincs	Nincs	Nem	2db USB 3.0, 1db USB 2.0	Nem	327 x 225 x 15.6 mm	
Fujitsu Lifebook U772 MF071HU Red	299133 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	32GB SSD + 500Gb SATA 5400RPM	Intel® GMA HD 4000	1.4 kg	36 hónap	3150 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	UMTS/3G	Nem	DTS Boost™ - Nagy felbontású hangszolgáltatás támogatása	Nincs	Van	Nincs	Nincs	HD webcam	4in1 Card reader	Nincs	Nincs	Nem	2db USB 3.0, 1db USB 2.0	Nem	327 x 225 x 15.6 mm	
ASUS G55VW-S1142V	299133 Ft	15.6" FULL HD-LED GlareType 1980x1080 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	8GB DDR3/1600 MHz	750GB 7200RPM (+8GB SSD) Hybrid SATA	NVIDIA® GeForce® GTX 660M 2048MB GDDR5	3.8kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=mp2WUMBvcG0&feature=player_embedded	ASUS Sonicmaster	Van	Van	Van	Nincs	HD webkamera	3in1 Card reader	Nincs	Nincs	Nem	4db USB 3.0	Ajándék táska + egér, háttérvilágítású billentyűzet, SPDIF Kimenet	384 x 299 x 20-51 mm	
LENOVO ThinkPad T530 N1B3SHV	299921 Ft	15.6" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	NVIDIA® Quadro NVS 5400M 1024MB	2.45kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile QM77	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=kBGy9_E5uBE	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Van	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	Nincs	372.8 x 245.1 x 31.8-35.6mm	
Acer S5 391-53314G12akk	302755 Ft	13.3" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1333 MHz	128GB Solid State Drive (SSD)	Intel® GMA HD 4000	1.2 kg	36 hónap	2310 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM77 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Nincs	Van	Nincs	Nincs	1.3MP HD CrystalEye Webkamera	2in1 Card reader	Nincs	Nincs	Nincs	2db USB 3.0	1db Thunderbolt™ csatlakozó	324 x 227 x 15 mm	
Dell Latitude E6330 146850	310629 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i7-3520M Processor (4M Cache, up to 3.60 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	1.7kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® QM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader, SmartCard olvasó	Van	Nincs	Van	3db USB 2.0	Dokkolócsatlakozó, Backlit keyboard	335 x 223,3 x 25.4-20.1 mm	
Fujitsu Lifebook U772 MF031HU	314881 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	Intel® GMA HD 4000	1.4 kg	36 hónap	3150 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	UMTS/3G	Nem	DTS Boost™ - Nagy felbontású hangszolgáltatás támogatása	Nincs	Van	Nincs	Nincs	HD webcam	4in1 Card reader	Nincs	Nincs	Nem	2db USB 3.0, 1db USB 2.0	Nem	327 x 225 x 15.6 mm	
Fujitsu Lifebook U772 MF081HU Red	314881 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	Intel® GMA HD 4000	1.4 kg	36 hónap	3150 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	UMTS/3G	Nem	DTS Boost™ - Nagy felbontású hangszolgáltatás támogatása	Nincs	Van	Nincs	Nincs	HD webcam	4in1 Card reader	Nincs	Nincs	Nem	2db USB 3.0, 1db USB 2.0	Nem	327 x 225 x 15.6 mm	
LENOVO ThinkPad T430 N1T56HV	368424 Ft	14.1" WXGA HD+ LED AntiGlare (matt kijelző) 1600x900 pixel	Intel® Core™ i7-3520M Processor (4M Cache, up to 3.60 GHz)	8GB DDR3/1600 MHz	500GB 7200RPM SATA	NVIDIA® Quadro NVS 5400M 2048MB	2.33kg	36 hónap	8400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® QM77	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Nincs	Nem	Nem	HD Audio	Van	Nincs	Mini DisplayPort	Nincs	HD type (30fps@720p)	4in1 Card reader	Van	Nincs	Nincs	2db USB 2.0 - 2db USB 3.0	SmartCard reader,	340.5 x 232.0 x 29.8–29.9mm	
ASUS G55VW-S1140V	338503 Ft	15.6" FULL HD-LED GlareType 1980x1080 pixel	Intel® Core™ i7-3610QM Processor (6M Cache, up to 3.30 GHz)	8GB DDR3/1600 MHz	128GB SSD + 750GB 7200RPM (+8GB SSD) Hybrid SATA	NVIDIA® GeForce® GTX 660M 2048MB GDDR5	3.8kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=mp2WUMBvcG0&feature=player_embedded	ASUS Sonicmaster	Van	Van	Van	Nincs	HD webkamera	3in1 Card reader	Nincs	Nincs	Nem	4db USB 3.0	Ajándék táska + egér, háttérvilágítású billentyűzet, SPDIF Kimenet	384 x 299 x 20-51 mm	
Lenovo ThinkPad X230 NZA2MHV	350314 Ft	12.5" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i7-3520M Processor (4M Cache, up to 3.60 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	1.5kg	36 hónap	5700 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® QM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nem	http://www.youtube.com/watch?v=WQUrCVP2kHM&feature=youtu.be	HD Audio, Realtek® ALC3202 codec	Van	Nincs	Mini DisplayPort	Van	720p HD webcam	4in1 Card reader	Van	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	UltraBase dokkoló, Ultrabay DVDRW, Háttérvilágítású billentyűzet	305 x 206.5 x 19 - 26.6mm	
LENOVO ThinkPad T530 N1B3GHV	353464 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i7-3610QM Processor (6M Cache, up to 3.30 GHz)	8GB DDR3/1600 MHz	500GB 7200RPM SATA	NVIDIA® Quadro NVS 5400M 1024MB	2.62kg	36 hónap	8400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile QM77	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=kBGy9_E5uBE	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Nincs	Mini DisplayPort	Van	HD720p webkamera	4in1 Card reader	Van	Nincs	Nem	2db USB 2.0 - 2db USB 3.0	Nincs	372.8 x 245.1 x 31.8-35.6mm	
Lenovo ThinkPad X230 Tablet N1Z2GHV	354251 Ft	12.5" WXGA HD-LED Multi-Touch 1366x768 pixel	Intel® Core™ i5-3320M Processor (3M Cache, up to 3.30 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	1.66kg	36 hónap	5700 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® QM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nem	http://www.youtube.com/watch?v=WQUrCVP2kHM&feature=youtu.be	HD Audio, Realtek® ALC3202 codec	Van	Nincs	Van	Van	720p HD webcam	4in1 Card reader	Van	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	UltraBase dokkoló, Ultrabay DVDRW, Háttérvilágítású billentyűzet	305.0 x 228.7 x 27 - 31.3mm	
Lenovo ThinkPad X230 NZA2NHV	356613 Ft	12.5" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3320M Processor (3M Cache, up to 3.30 GHz	4GB DDR3/1600 MHz	180GB Solid State Drive (SSD)	Intel® GMA HD 4000	1.5kg	36 hónap	5700 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® QM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nem	http://www.youtube.com/watch?v=WQUrCVP2kHM&feature=youtu.be	HD Audio, Realtek® ALC3202 codec	Van	Nincs	Van	Van	720p HD webcam	4in1 Card reader	Van	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	UltraBase dokkoló, Ultrabay DVDRW, Háttérvilágítású billentyűzet	305 x 206.5 x 19 - 26.6mm	
ASUS G75VW-T1321V	362125 Ft	17.3" FULL HD-LED GlareType 1920x1080 pixel	Intel® Core™ i7-3610QM Processor (6M Cache, up to 3.30 GHz)	8GB DDR3/1600 MHz	160GB SSD + 750GB 7200RPM (+8GB SSD) Hybrid SATA	NVIDIA® GeForce® GTX 660M 2048MB GDDR5	4.5kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?v=mp2WUMBvcG0&feature=player_embedded	ASUS Sonicmaster	Van	Van	Van	Nincs	HD webkamera	3in1 Card reader	Nincs	Nincs	Nem	4db USB 3.0	Ajándék táska, egér, SPDIF Kimenet	415 x 320 x 17-52 mm	
FUJITSU Lifebook S761 MPX01HU	385747 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i7-2640M Processor (4M Cache, 2.80 GHz)	4GB DDR3/1066 MHz	128GB Solid State Drive (SSD)	Intel® Graphics Media Accelerator HD	1.6kg	36 hónap	5600 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® QM67 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 3.0	Sierra Wireless Gobi 3000 3G/UMTS/GPS modul	Nem	RealTek ALC260	Van	Van	Nincs	Van	1.3MPixel HD	2in1 Card reader	Van	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	SmartCard reader, SIM card slot, Dokkoló csatlakozó, TPM modul	321 x 228 x 27,1-35,5 mm	
