TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Nyelv	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	OS Jell.	Operációs rendszer Választható nyelv	Videókártya Jellemzők	Operációs rendszer Verzió	Optikai meghajtó Jellemzők	Fizikai paraméterek Ajándék kiegészítők	Fizikai paraméterek Egyéb leírás	Videókártya Dedikált memória
Acer Aspire V5-471-323a4G50Mass_W8	141409 Ft	14,1 "	1366x768 WXGA HD	LED, Fényes	(200-nit) Acer CineCrystal™Super-slim design	Intel	Core i3	2377MB 1.50 GHz	3 MB L3 cache	4 GB		max. 8 GB	500 GB	HDD		Intel	HD Graphics 3000	Alaplapi integrált		2.1 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	37Wh 2500mAh 4-cellás Li-ion , max. 4.5hENERGY STAR®	DVD író	Mobile Intel® HM77 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Ezüst hátlap	Nem	Magyar	86-/87/91-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Advanced Audio® v2, sztereo hangszórók, mikrofonHeadphone / speaker jack	Memóriakártya olvasó, Webkamera, HDMI, VGA, USB 3.0, Bluetooth	Bluetooth 4.0+HS, HDMI, USB 3.0, 2*USB 2.0, LAN/VGA combo port	2-in-1 kártyaolvasó: SD™ Card, MultiMediaCard™ (MMC)	Acer Crystal Eye HD Webkamera 1280 x 1024, 720p	WLAN	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi Gigabit Ethernet LAN	Windows 8	• Acer Backup Manager • Acer ePower Management • Acer eRecovery Management• Microsoft® Office Starter 2010• Norton™ Online Backup• McAfee Internet Security Suite Trial• MyWinLocker®• Acer clear.fi • NTI Media Maker™• CyberLink® Media Espresso • Acer Identity Card • Acer Registration • Acer Updater	342 (W) x 245 (D) x 20/23 (H) mm		Magyar		64 bit	8x DVD-Super Multi double-layer				
Acer Aspire V5-471-323a4G50Mabb_W8	141409 Ft	14,1 "	1366x768 WXGA HD	LED, Fényes	(200-nit) Acer CineCrystal™Super-slim design	Intel	Core i3	2377MB 1.50 GHz	3 MB L3 cache	4 GB		max. 8 GB	500 GB	HDD		Intel	HD Graphics 3000	Alaplapi integrált		2.1 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	37Wh 2500mAh 4-cellás Li-ion , max. 4.5hENERGY STAR®	DVD író	Mobile Intel® HM77 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Kék hátlap	Nem	Magyar	86-/87/91-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Advanced Audio® v2, sztereo hangszórók, mikrofonHeadphone / speaker jack	Memóriakártya olvasó, Webkamera, HDMI, VGA, USB 3.0, Bluetooth	Bluetooth 4.0+HS, HDMI, USB 3.0, 2*USB 2.0, LAN/VGA combo port	2-in-1 kártyaolvasó: SD™ Card, MultiMediaCard™ (MMC)	Acer Crystal Eye HD Webkamera 1280 x 1024, 720p	WLAN	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi Gigabit Ethernet LAN	Windows 8	• Acer Backup Manager • Acer ePower Management • Acer eRecovery Management• Microsoft® Office Starter 2010• Norton™ Online Backup• McAfee Internet Security Suite Trial• MyWinLocker®• Acer clear.fi • NTI Media Maker™• CyberLink® Media Espresso • Acer Identity Card • Acer Registration • Acer Updater	342 (W) x 245 (D) x 20/23 (H) mm		Magyar		64 bit	8x DVD-Super Multi double-layer				
Acer TravelMate 5760G-52454G50Mnsk	141653 Ft	15,6 "	1366x768 WXGA HD	LED, Matt	Acer ComfyView	Intel	Core i5	3210m 2.5GHz/3.1GHz	DDR3 1600MHz, 35W	4 GB	DDR3 1600 MHz	1x4GB, 8GB-ig bővíthető	500 GB	HDD	S-ATA merevlemez	nVidia	GeForce GT630 1GB	Dedikált, saját memóriával		2.88 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48.8W 6-cellás lítium-ion akkumulátor akár 4 órás akkumulátor üzemidő	DVD író	Intel HM65 Chipset	Játék/3D grafika, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar	# 88-/89 gombos Acer FineTouch™ billentyűzet 5 fokos hajlítással, fordított "T" kurzorelrendezés, 2,5 mm billentyűleütési út # 12 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok; beágyazott numerikus billentyűzet; nemzetközi nyelv támogatás # Empowering Gomb # Gyorsindító gombok: Internet, email, egy a felhasználó által programozható gomb # Speciális gombok: Presentation, Sync # Két, az előlapról elérhető gomb		HD audio támogatás Két beépített Acer 3DSonic sztereo hangszóró Acer PureZone technológia két beépített sztereo mikrofonnal; irányított hang, továbbá visszhangmentesítő és zajcsökkentő technológiák MS-Sound kompatibilis Beépített mikrofon 1 Fejhallgató-/hangszóró-/vonalkimenet csatlakozó 1 Mikrofon csatlakozó	Memóriakártya olvasó, Ujjlenyomat olvasó, Webkamera, Dokkolócsatlakozó, Bluetooth, VGA, HDMI	Bluetooth 2.1, 3USB 2.0, HDMI, 1 csatlakozó külső kijelzőhöz (VGA)	5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD)Acer EasyPort IV csatlakozó	CrystalEye Webkamera Ujjlenyomat olvasó	WLAN, Modem	Acer InviLink™ 802.11b/g/n draft Wi-FiGigabit Ethernet1 Modem (RJ-11) csatlakozó	Külön vásárolható	Linux	360 x 267 x 30.3/43 mm		Magyar			DVD-SuperMulti duplarétegű író			1024 MB	
Acer TravelMate B113-M-323a4G32akk3 év garancia + véletlen sérülés biztosítás!	141653 Ft	11,6 "	1366x768 WXGA HD	Matt, LED	Acer ComfyView	Intel	Core i3	2377M 1.5GHz	DDR3 1333 MHz, 17W	4 GB	DDR3 1066 MHz	1x4GB, max. 8 GB	320 GB	HDD	Serial ATA	Intel	HD Graphics 3000	Alaplapi integrált		1,38kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	4 cellás 2600 mAh (max. 5 órás üzemidő)	Nincs	Intel HM77 Express Chipset	Üzleti, Ultrahordozható	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar		TouchPad	Beépített hangszóró és mikrofon	Bluetooth, Webkamera, Memóriakártya olvasó, HDMI, VGA, USB 3.0	Bluetooth 4.0 / 1xUSB3.0 / 2xUSB2.0 / HDMI / VGA	2-in-1 kártyaolvasó :Secure Digital (SD) Card, MultiMediaCard (MMC)	CrystalEye Webkamera	WLAN	802.11bgn Wi-Fi Gigabit Ethernet	Windows 7 Professional	Office Starter 2010	27.4*285*202mm		Magyar		64 bit					
Acer Aspire E1-571G-33114G50Mnks	142118 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	(200-nit) Acer CineCrystal™	Intel	Core i3	3110M 2.4GHz	3 MB L3 cache, DDR3 1600 MHz, 35 W	4 GB		max. 8 GB	500 GB	HDD		nVidia	GeForce G620M 1GB	Dedikált, saját memóriával		2.45 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48Wh 4400 mAh 6-cellás Li-ion max. 4,5 óra	DVD író	Mobile Intel® HM77 Express Chipset	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	105-/106-/109-gombos Acer FineTouch™	Multi-gesture touchpad	High-definition audio, sztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack, 3.5 mm	Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, VGA, HDMI	3*USB 2.0, HDMI® (HDCP), VGA	5in1 kártyaolvasó: Secure Digital™ (SD) Card, MultiMediaCard™ (MMC), Memory Stick PRO™ (MS PRO), xD-Picture Card™ (xD)	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer Nplify 802.11b/g/n Wi-Fi Gigabit Ethernet	Windows 8	Acer Backup ManagerAcer ePower ManagementAcer eRecovery ManagementMicrosoft® Office Starter 2010Norton™ Online BackupMcAfee® Internet Security Suite próbaverzióMyWinLocker®Acer clear.fiNTI Media Maker™Acer Identity CardAcer RegistrationAcer Updater	381.6 (W) x 253 (D) x 25.4/33.2 (H) mm		Magyar		64 bit	DVD-Super Multi DL			1024 MB	
HP-Compaq ProBook 4540sajándék táskával!	185110 Ft	15,6 "	1366x768 WXGA HD	LED, Matt	csillogásmentes	Intel	Core i5	2450M 2,50 GHz	3 MB L3 gyorsítótár	4 GB	DDR3 1333 MHz	8 GB-ig bővíthető	500 GB	HDD	SATA II, 7200 f/pHP 3D DriveGuard	AMD/ATI	Radeon HD 7650M 1GB DDR3	Dedikált, saját memóriával		2,33 kg	3 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás (47 Wh) lítiumion	DVD író	Mobil Intel® HM76 Express	Játék/3D grafika, Általános otthoni/irodai, Üzleti	Notebook / Laptop	Új	Ezüst hátlap	Nem	Magyar	Teljes méretű cseppálló billentyűzet numerikus billentyűzettelFunkciógombok a hangszóró elnémításához, a hangerő növeléséhez és csökkentéséhez, video- és hangfájlok lejátszásához, előre- és hátratekeréséhez	Kézmozdulatokat támogató érintőtábla LED-es be- és kikapcsoló gombbal, kétirányú görgetéssel és két gombbal	SRS Premium Sound PRO; Beépített sztereó hangszórók; Beépített mikrofon Sztereó fejhallgató/vonali kimenet, sztereó mikrofonbemenet	Memóriakártya olvasó, Numerikus billentyűzet, Webkamera, HDMI, VGA, USB 3.0, Bluetooth	Bluetooth 4.0 + EDR2 USB 3.0; 2 USB 2.0; 1 HDMI; 1 VGA	1 médiakártya-olvasó	720p HD webkamera	WLAN	Atheros 802.11b/g/n WiFi 1x1 Realtek Ethernet (10/100/1000)	Windows 7 Home Premium	Microsoft® Office Starter: csak a Word és az Excel® programot tartalmazza, csökkentett funkcionalitással és hirdetésekkel. A PowerPoint® és az Outlook® alkalmazást nem tartalmazza. A teljes szoftvercsomag használatához meg kell vásárolnia az Office 2010 szoftvert; HP Recovery Manager; HP Support Assistant; HP gyorsbillentyűket támogató szoftver; HP Power Assistant; HP Connection Manager; HP Wireless Assistant; ArcSoft Total Media Suite; WinZipHP ProtectTools; Drive Encryption for HP ProtectTools; Credential Manager for HP ProtectTools; HP ProtectTools Security Manager; HP Spare Key; File Sanitizer for HP ProtectTools; Továbbfejlesztett rendszerindítás előtti biztonság; HP arcfelismerés; HP Disk Sanitizer	37,5 x 25,6 x 2,8 cm		Magyar		64 bit	DVD+/-RW SuperMulti DL	ajándék táskával!		1024 MB	
HP-Compaq Pavilion g6-2018sh	142275 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	BrightView	AMD	A10-Series	A10-4600M 2,3 GHz	4 MB L2 gyorsítótár	4 GB	DDR3 1066 MHz	(1 x 4 GB), max. 8GB	750 GB	HDD	SATA (5400 f/p)Akár 24 GB-os partíció a rendszer-helyreállításhoz	AMD/ATI	dupla GPU: Radeon HD 7660G + 7670M 1GB DDR3	Dedikált, saját memóriával		Min. 2,48 kg(A súly a konfigurációtól függ )	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	6 cellás lítiumion	DVD író	AMD A70M FCH	Általános otthoni/irodai, Multimédiás, Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	Teljes méretű textúrázott különálló billentyűket tartalmazóbillentyűzet integrált számbillentyűzettel	Érintőtábla be- és kikapcsológombbal és többujjas érintőmozdulatokkal	Altec Lansing - Dolby Advanced Audio1 fejhallgató-kimenet1 mikrofonbemenet	Memóriakártya olvasó, Numerikus billentyűzet, Webkamera, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth1 VGA1 HDMI1 USB 2.02 USB 3.0	Többformátumú digitális adathordozókártya-olvasó	HP webkamera beépített digitális mikrofonnal (VGA)		802.11b/g/n WLANBeépített 10/100 BASE-T Ethernet LAN	Windows 7 Home Premium	Symantec Norton Internet Security (60 napos live update)HP CoolSenseHP ProtectSmartHP játékok a WildTangent jóvoltábólEasyBits Magic DesktopEvernoteWindows Live EssentialsMicrosoft® Office Starter: csak csökkentettszolgáltatáskészletű Word és Excel® alkalmazást tartalmaz,hirdetésekkel. A PowerPoint® és az Outlook® nem része acsomagnak. A teljes szolgáltatáskészletű szoftverhasználatához vásárolja meg az Office 2010programcsomagot.A HP Support Assistant révén számítógépe mindig alegjobb formáját nyújtja: www.hp.eu/supportassistantHP Setup ManagerHP Recovery Manager (helyreállítási partíció, helyreállítóCD/DVD-készítő eszköz)	37,6 x 24,4 x 3,63 cm(A méretek konfigurációnként változnak )		Magyar		64 bit	SuperMulti 8X DVD±R/RW kétrétegű támogatással			1024 MB	
Acer Aspire V3-471G-33114G75MakkL	142905 Ft	14,1 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal (200-nit) 16:9	Intel	Core i3	3110M 2,4GHz	3MB cache	4 GB		max. 8 GB	750 GB	HDD	SATA	nVidia	GeForce® GT 630M 2GB DDR3	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ionmax. 4,5 óra	DVD író	Mobile Intel® HM77 Express Chipset	Multimédiás, Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4Beépített hangszóró és mikrofonHeadphone/speaker jack, Microphone-in jack	Memóriakártya olvasó, Webkamera, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth 4.0+HS, 1xUSB3.0, 2xUSB2.0, HDMI, VGA	Multi-in-1 kártya olvasó (SD™, MMC, MS PRO, xD)	Acer CrystalEye HD Webkamera 1280 x 1024 720p	WLAN	Acer InviLink™ Nplify™ 802.11a/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm			NVIDIA® CUDA™, PhysX™, PureVideo® HD, OpenEXR High Dynamic-Range (HDR), Shader Model 5.0, Microsoft® DirectX® 11, OpenGL® 4.1, OpenCL™ 1.1		8X DVD-Super Multi double-layer			2048 MB	
Acer Aspire V3-471G-33114G75MaddL	142905 Ft	14,1 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal (200-nit) 16:9	Intel	Core i3	3110M 2,4GHz	3MB cache	4 GB		max. 8 GB	750 GB	HDD	SATA	nVidia	GeForce® GT 630M 2GB DDR3	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ionmax. 4,5 óra	DVD író	Mobile Intel® HM77 Express Chipset	Multimédiás, Játék/3D grafika	Notebook / Laptop	Új	Arany hátlap	Nem	Magyar	Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4Beépített hangszóró és mikrofonHeadphone/speaker jack, Microphone-in jack	Memóriakártya olvasó, Webkamera, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth 4.0+HS, 1xUSB3.0, 2xUSB2.0, HDMI, VGA	Multi-in-1 kártya olvasó (SD™, MMC, MS PRO, xD)	Acer CrystalEye HD Webkamera 1280 x 1024 720p	WLAN	Acer InviLink™ Nplify™ 802.11a/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm			NVIDIA® CUDA™, PhysX™, PureVideo® HD, OpenEXR High Dynamic-Range (HDR), Shader Model 5.0, Microsoft® DirectX® 11, OpenGL® 4.1, OpenCL™ 1.1		8X DVD-Super Multi double-layer			2048 MB	
Toshiba Satellite L830-119	143771 Ft	13,3 "	1366x768 WXGA HD	LED, Fényes	Nagy fényerejű Toshiba TruBrite® 16 : 9 oldalaránnyal	Intel	Core i3	2377M 1,50 GHz	Elülső busz : 1,333 MHz 3. szintű gyorsítótár : 3 MB	4 GB	DDR3 1333 MHz	bővíthetőség felső határa : 8,192 MB	640 GB	HDD	5,400 fordulat/perc Merevlemez-meghajtó védelme	Intel	HD Graphics 3000	Alaplapi integrált		1.68 kg	2 év (1 év az akkura és töltőre)	Szerviz, Világ	lithium-ion maximális üzemidő : max. 6h30min (Mobile Mark™ 2007)	DVD író		Ultrahordozható, Általános otthoni/irodai	Notebook / Laptop	Új	Átlós mintázatú, matt és fényes gyöngyházfehér felület, fehér billentyűzet	Nem	Magyar	billentyűk : 87 Windows billentyűk : Igen speciális szolgáltatások : Teljes méretű, matt fehér billentyűzet	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók (doboz nélkül) gyártó : Conexant (CX20671-11Z), SRS Premium Sound HD™ rendszerrel 1 × külső mikrofon 1 × sztereó fejhallgató	Memóriakártya olvasó, Webkamera, HDMI, VGA, USB 3.0, Bluetooth	Bluetooth® 4.01 × külső monitor 2 × USB 3.01 × USB 2.0 Sleep-and-Charge technológiával 1 × HDMI-kimenet, 1080p jelformátum támogatása	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	WLAN	Wi-Fi® Hálózati támogatás : 802.11b/g/nGigabit Ethernet LAN	Windows 7 Home Premium	A számítógépen a Microsoft® Word és az Excel program korlátozott funkcionalitású, reklámokat tartalmazó verziója található. PowerPoint és Outlook nélkül. A számítógépen előtelepített, teljes funkcionalitású Office csomag aktiválásához vásárold meg a Microsoft® Office 2010 terméket. McAfee® Internet Security (30 napos ingyenes előfizetéssel) Nero KwikMedia, Nero BackItUp és Burn Autobackup Toshiba Eco Utility™ Toshiba PC Health Monitor Toshiba Resolution+ beépülő modul a Windows Media Player lejátszóhoz Toshiba Tempro - ellenőrzi, hogy megvannak-e a laptopon a legújabb Toshiba szoftverfrissítések Toshiba webkamera-alkalmazás Toshiba Recovery Media Creator WildTangent Games Console Toshiba Disc Creator	Sz x H x M : 329 x 221 x 36.8 (elöl) /30.62 (hátul) mm	előtelepítve, Toshiba merevlemez-helyreállítással	Magyar	akár 1696 MB megosztott memória 4 GB telepített rendszermemória mellett (előre telepített 64 bites operációs rendszer esetén) memória típusa : megosztott	64 bit	Univerzális kétrétegű, vékony DVD-meghajtó				
Lenovo IdeaPad Z580	185110 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	16:9	Intel	Core i5	3210M 2.5 GHz	3MB cache, max. 3,10GHz	4 GB	DDR3 1333 MHz	1x4GB, 2 slot / max. 8GB	500 GB	HDD	SATA 5400rpm	nVidia	Geforce GT 635M / 2GB	Dedikált, saját memóriával		2,65kg	2 év (1 év az akkura és töltőre)	Szerviz	6 Cellás, max. 5 óra	DVD író	Mobile Intel® HM76 Express	Játék/3D grafika	Notebook / Laptop	Új	Szürke hátlap	Nem	Magyar	"AccuType"OneKey Theatre II	TouchPad, 5 ujjas vezérlés	Dolby® Home Theater® v4, sztereo hangszórók (2*2W)headphone jack, mic-in jack	VGA, Bluetooth, Memóriakártya olvasó, Webkamera, HDMI, Numerikus billentyűzet, USB 3.0	Bluetooth 4.0, HDMI, VGA, 2*USB2.0, 2*USB3.0	5-in-1 Kártyaolvasó (SD. SDpro, MMC, MS Pro, XD)	1.0MP 720p HD Webkamera	WLAN	Gigabit LAN / 802.11bgn WLAN	Windows 8	McAffee, OneKey Rescue System, OneKey Theather, Lenovo Games, PowerDVD, ReadyComm, Youcam, Energy Management, Power2Go	376*250*32,9mm		Magyar		64 bit	Tray in RAMBO drive		Video megtekintése ->	2048 MB	
Acer Aspire V3-571G-53214G50MAKK	145110 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	Acer CineCrystal (200-nit) 16:9	Intel	Core i5	3210M 2.50GHz	3MB cache	4 GB	DDR3 1600 MHz	1*4GB, max. 8 GB	500 GB	HDD	5400 rpm	nVidia	GeForce® GT 630M 2GB DDR3 VRAM	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	48 Wh 4400 mAh 6-cellás Li-ion	DVD író	Mobile Intel® HM77 Express Chipset	Multimédiás, Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4Beépített hangszóró és mikrofonHeadphone/speaker jack, Microphone-in jack	Webkamera, Numerikus billentyűzet, Memóriakártya olvasó, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth 4.0+HS, 1xUSB3.0, 2xUSB2.0, HDMI, VGA	Multi-in-1 kártya olvasó (SD™, MMC, MS PRO, xD)	Acer CrystalEye HD Webkamera 1280 x 1024 720p	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm			NVIDIA® CUDA™, PhysX™, PureVideo® HD, OpenEXR High Dynamic-Range (HDR), Shader Model 5.0, Microsoft® DirectX® 11, OpenGL® 4.1, OpenCL™ 1.1		8X DVD-Super Multi double-layer			2048 MB	
Acer Aspire V3-571G-53216G75Makk_Lin	145590 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal (200-nit) 16:9	Intel	Core i5	3210M 2.50GHz	3MB cache, max. 3,1 GHz	6 GB		max. 8 GB	750 GB	HDD		nVidia	GeForce® GT 630M 2GB DDR3 VRAM	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	48 Wh 4400 mAh 6-cellás Li-ion	DVD író	Mobile Intel® HM77 Express Chipset	Multimédiás, Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4Beépített hangszóró és mikrofonHeadphone/speaker jack, Microphone-in jack	Bluetooth, USB 3.0, VGA, HDMI, Memóriakártya olvasó, Numerikus billentyűzet, Webkamera	Bluetooth 4.0+HS, 1xUSB3.0, 2xUSB2.0, HDMI, VGA	Multi-in-1 kártya olvasó (SD™, MMC, MS PRO, xD)	Acer CrystalEye HD Webkamera 1280 x 1024 720p	WLAN	Acer InviLink™ Nplify™ 802.11a/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm			NVIDIA® CUDA™, PhysX™, PureVideo® HD, OpenEXR High Dynamic-Range (HDR), Shader Model 5.0, Microsoft® DirectX® 11, OpenGL® 4.1, OpenCL™ 1.1		8X DVD-Super Multi double-layer			2048 MB	
Fujitsu Lifebook AH552-R5	145819 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel	Core i5	2450M 2.5GHz	3MB cache	4 GB	DDR3 1333 MHz	1x 4GB, max. 16 GB	500 GB	HDD	7200 f/p, 2,5 hüvelykes, S.M.A.R.T.	Intel	HD Graphics	Alaplapi integrált		2,2 kg	2 év (1 év az akkura és töltőre)	Szerviz	8 cellás Li-Ion	DVD író	Intel® HM76	Üzleti	Notebook / Laptop		Vörös / Piros hátlap	Nem	Magyar	Cseppálló billentyűzet teljes számbillentyűzettel	Touchpad	Nagy felbontású hangszolgáltatás támogatása, DTS Boost™ – maximálisra növeli a notebook akusztikus teljesítményét a hangmix érzékelt általános szintjének növelésével, 2x beépített hangszóró (sztereó), Beépített digitális mikrofon, Hangerő-szabályozás funkcióbillentyűvel1 x Hang: vonali bemenet / mikrofon1 x Hang: vonali kimenet / fejhallgató	HDMI, VGA, USB 3.0, Bluetooth, Memóriakártya olvasó, Webkamera, Numerikus billentyűzet	Bluetooth V2.13 x USB 2.0 összesen1 (Anytime USB-töltési funkció) x USB 3.0 összesen1 x VGA1 x HDMI	1 db 4-az-1-ben kártyaolvasó (SD/SDHC/MS/MS Pro)	Beépített webkamera, HD	WLAN	WLAN Intel® Centrino® Wireless N2230 IEEE 802.11b/g/nLAN 10/100/1000 Mb/s Realtek RTL 8111F	Külön vásárolható	Drivers & Utilities DVD (DUDVD)	378 x 252 x 25,4 mm					DVD SuperMulti SATA				
Fujitsu LIFEBOOK UH552-SMH	145819 Ft	13,3 "	1366x768 WXGA HD	LED, Matt	Anti-glare, 220 cd/m2	Intel	Core i3	3217U 1.8GHz	3MB cache	4 GB		1x 4GB, max. 16 GB, 2 slot	500 GB	HDD	5,4krpm 2,5 hüvelykes, S.M.A.R.T.	Intel	HD Graphics 4000	Alaplapi integrált		1,57 kg	2 év (1 év az akkura és töltőre)	Szerviz	4 cellás Lithium polymer 2840 mAh, 42 Wh7.5 h (Mobile Mark 2007)	Nincs	Intel HM76	Ultrahordozható, Üzleti	Notebook / Laptop	Új	Ezüst hátlap	Nem	Magyar	Cseppálló billentyűzet	Multi-TouchPad	Realtek ALC269Q-VB6 (HD audio)2x beépített hangszóró (sztereó), Nagy felbontású hangszolgáltatás támogatása, DTS Boost™1 x Hang: vonali kimenet / fejhallgató	Webkamera, Memóriakártya olvasó, Bluetooth, USB 3.0, HDMI	Bluetooth V4.0, 1 (ebből 1 db Anytime USB-töltési funkció) x USB 2.0 összesen2 x USB 3.0 összesen1 x HDMI	4-in-1 kártyaolvasó (SD/MS/MSPro/SDXC)	Beépített webkamera, HD	WLAN	WLAN b/g/nUSB-n keresztül Ethernet (RJ-45)	Windows 7 Home Premium	Office 2010 StarterCyberLink YouCamFujitsu RecoveryNorton Internet Security 60nap	323 x 234 x 18,0 mm	Drivers & Utilities DVD (DUDVD)Recovery DVD	Magyar		64 bit					
