TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HSDPA	ExpressCard	USB 3	DP	Mikrofon be	Backlit KB	Multitouch	AC	HDD RPM	FW	GPS	Dokk	TPM	TFT 3D	Bill. Num	SPDIF	eSata	Modem	Utazó akkumulátor csatlakozó	Com	Optikai meghajtóLightscribe
SONY VAIO E széria notebook (pink)	126685 Ft	11.6" HD (1366x768) AG LED	WXGA	11,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD E2-1800	AMD	E-Series	2	1,70 GHz	1,7 GHz	Igen	1 MB	16 GB	Igen	40 nm	18 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7340	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	40 nm	11,0	5,0	4,1	1,5 kg	SONY VAIO E series 6-cell	6	48 Wh	Li-Ion	normál						Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit		belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	világos alapon sötét karakterek			Igen	290 mm	204 mm	24 mm			1 db USB3		Igen		Igen		5400 fordulat/perc													
HP Probook 6465b notebook (Renew*)	125905 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A6-3410MX	AMD	A6 Series	4	1,60 GHz	2,3 GHz	Igen	4 MB	0 GB	Igen	32 nm	45 W	Igen		4GB DDR3	4 GB	DDR3	320 GB	HDD			Radeon HD 6520G	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	11,0	5,0	4,1	2,1 kg	HP Probook 6465b 6-cell	6	55 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 64xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	338 mm	231 mm	34 mm		Igen	0 db USB3	Igen	Igen		Igen	90 W	7200 fordulat/perc	Igen		Igen					Igen		Igen			
HP Pavilion g6-2100sh Sparkling Black notebook	125897 Ft	15.6" HD (1366x768) BrightView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A8-4500M	AMD	A8 Series	4	1,90 GHz	2,8 GHz	Igen	4 MB	32 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7670M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1		HP Pavilion g6-2xxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP Pavilion g6	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	244 mm	36 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
HP Pavilion g6-1307ep Charcoal Grey notebook (Renew*)	125197 Ft	15.6" HD (1366x768) BrightView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2450M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6470M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	HP Pavilion g6-1xxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL LS	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP Pavilion g6	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2		Igen	374 mm	245 mm	30 mm			0 db USB3		Igen		Igen	90 W	5400 fordulat/perc												Igen	
ACER Aspire 5560 notebook (fekete)	86527 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A4-3305M	AMD	A4 Series	2	1,90 GHz	2,5 GHz	Igen	1 MB	16 GB	Igen	32 nm	35 W	Igen		3GB DDR3	3 GB	DDR3	320 GB	HDD			Radeon HD 6480G	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	11,0	5,0	4,1	2,6 kg	ACER Aspire 5560 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire 55xx	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	382 mm	253 mm	26 mm			0 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
TOSHIBA Satellite C870 notebook (fehér)	123535 Ft	17.3" HD+ (1600x900) TruBrite LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Pentium B950	Intel	Pentium	2	2,10 GHz	2,1 GHz	Igen	2 MB	8 GB	Igen	32 nm	35 W			4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7610M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,7 kg						DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	TOSHIBA Satellite C	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	világos alapon sötét karakterek	2		Igen	413 mm	268 mm	34 mm			1 db USB3		Igen		Igen	75 W	5400 fordulat/perc						Igen							
LENOVO ThinkPad Edge E130 notebook	97551 Ft	11.6" HD (1366x768) AG LED	WXGA	11,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium 977	Intel	Pentium	2	1,40 GHz	1,4 GHz	Igen	2 MB	16 GB	Igen	32 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	1,5 kg											FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO ThinkPad Edge	közép kategória	üzleti	10/100	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	287 mm	212 mm	23 mm			3 db USB3		Igen		Igen		5400 fordulat/perc													
ASUS X54HY notebook	102283 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2330M	Intel	Core i3	2	2,20 GHz	2,2 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 6470M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	ASUS X54 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS X5x	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	253 mm	37 mm			1 db USB3		Igen			75 W	5400 fordulat/perc						Igen							
ASUS X54HR notebook	89685 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Celeron B815	Intel	Celeron	2	1,60 GHz	1,6 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	2GB DDR3	2 GB	DDR3	320 GB	HDD			Radeon HD 6470M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	ASUS X54 4-cell	4	37 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS X5x	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	253 mm	37 mm			1 db USB3		Igen		Igen	75 W	5400 fordulat/perc						Igen	Igen						
LENOVO ThinkPad Edge E430 notebook	121173 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2328M	Intel	Core i3	2	2,20 GHz	2,2 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,2 kg	LENOVO ThinkPad Edge Plus E430 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO ThinkPad Edge	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	340 mm	234 mm	28 mm			3 db USB3		Igen		Igen	65 W	5400 fordulat/perc													
LENOVO IdeaPad S400 notebook (piros)	119598 Ft	14.0" HD (1366x768) VibrantView LED	WXGA	14,0 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium 997	Intel	Pentium	2	1,60 GHz	1,6 GHz	Igen	2 MB	16 GB	Igen	32 nm	17 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	1,8 kg	LENOVO IdeaPad S400 4-cell	4	32 Wh	Li-Ion	normál						Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	LENOVO IdeaPad S	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek				337 mm	241 mm	22 mm			1 db USB3		Igen		Igen	40 W	5400 fordulat/perc													
ACER V5-431 notebook (kék)	119598 Ft	14.0" HD (1366x768) CrystalBright LED	WXGA	14,0 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium 967	Intel	Pentium	2	1,30 GHz	1,3 GHz	Igen	2 MB	16 GB	Igen	32 nm	17 W			4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,1 kg	ACER V5 4-cell	4	37 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	ACER V5	belépő szint	otthoni	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	342 mm	245 mm	23 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc													
LENOVO ThinkPad Edge E535 notebook	114874 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A4-4300M	AMD	A4 Series	2	2,50 GHz	3,0 GHz	Igen	1 MB	16 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	320 GB	HDD			Radeon HD 6480G	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	11,0	5,0	4,1	2,5 kg	LENOVO ThinkPad Edge Plus E530/E535 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO ThinkPad Edge	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	377 mm	245 mm	30 mm			3 db USB3		Igen		Igen	65 W	7200 fordulat/perc						Igen							
LENOVO Ideapad G585A notebook	78661 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD E1-1200	AMD	E-Series	2	1,40 GHz	1,4 GHz	Igen	1 MB	16 GB	Igen	40 nm	18 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6370M / 1GB	AMD	Radeon	dedikált (belépő szint)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	LENOVO IdeaPad G585 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad G	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	377 mm	250 mm	17 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
HP Pavilion dm1-4200sh Charcoal notebook	118811 Ft	11.6" HD (1366x768) BrightView LED	WXGA	11,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD E1-1200	AMD	E-Series	2	1,40 GHz	1,4 GHz	Igen	1 MB	16 GB	Igen	40 nm	18 W	Igen		4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 7310	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	40 nm	11,0	5,0	4,1	1,6 kg	HP Pavilion dm1-4xxx 6-cell	6	55 Wh	Li-Ion	normál						Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP Pavilion dm1	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	292 mm	215 mm	32 mm					Igen				5400 fordulat/perc													
DELL Inspiron 3520 Obsidian Black notebook	102275 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,4 kg	DELL Inspiron 3520 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	260 mm	32 mm					Igen		Igen	65 W	5400 fordulat/perc													
TOSHIBA Satellite C850 notebook (fekete)	77079 Ft	15.6" HD (1366x768) TruBrite LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Celeron B820	Intel	Celeron	2	1,70 GHz	1,7 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	2GB DDR3	2 GB	DDR3	320 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	2,3 kg	TOSHIBA Satellite C850 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	TOSHIBA Satellite C	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	380 mm	242 mm	34 mm			1 db USB3		Igen		Igen	75 W	5400 fordulat/perc						Igen							
ASUS X55VD notebook	108575 Ft																																																																																																						
TOSHIBA Satellite L850D notebook (szürke)	115661 Ft																																																																																																						
ACER Aspire 5750G notebook (fekete)	114874 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2330M	Intel	Core i3	2	2,20 GHz	2,2 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	640 GB	HDD			GeForce GT 520M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,2	2,6 kg	ACER Aspire 5750 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire 57xx	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	382 mm	253 mm	26 mm			1 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
LENOVO Ideapad G580 notebook	86527 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B950	Intel	Pentium	2	2,10 GHz	2,1 GHz	Igen	2 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce 610M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	LENOVO IdeaPad G580 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad G	belépő szint	otthoni	10/100	802.11(b/g/n)		Igen	3 db USB		Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	245 mm	34 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
LENOVO ThinkPad Edge E335 notebook	114874 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD E2-1800	AMD	E-Series	2	1,70 GHz	1,7 GHz	Igen	1 MB	16 GB	Igen	40 nm	18 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7340	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	40 nm	11,0	5,0	4,1	1,8 kg	LENOVO ThinkPad Edge Plus E330 6-cell	6	62 Wh	Li-Ion	normál						FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO ThinkPad Edge	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	322 mm	228 mm	30 mm			2 db USB3		Igen		Igen		5400 fordulat/perc													
HP Pavilion g6-1308eh Charcoal Grey notebook	114094 Ft	15.6" HD (1366x768) BrightView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			Radeon HD 7450M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,6 kg	HP Pavilion g6-1xxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	HP Pavilion g6	belépő szint	otthoni	10/100	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	374 mm	245 mm	30 mm			0 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
HP Pavilion g6-1222eh Charcoal Grey notebook	110157 Ft	15.6" HD (1366x768) BrightView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A4-3300M	AMD	A4 Series	2	1,90 GHz	2,5 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 6510G2 / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	32 nm	11,0	5,0	4,1	2,6 kg	HP Pavilion g6-1xxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP Pavilion g6	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	374 mm	245 mm	30 mm			0 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
DELL Inspiron N5050 Obsidian Black notebook	74724 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Celeron B710	Intel	Celeron	1	1,60 GHz	1,6 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	2GB DDR3	2 GB	DDR3	320 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,4 kg	DELL Inspiron N5050 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	260 mm	32 mm			0 db USB3		Igen			65 W	5400 fordulat/perc													
ASUS X55C notebook	99126 Ft																																																																																																						
LENOVO ThinkPad Edge E330 notebook	112512 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B970	Intel	Pentium	2	2,30 GHz	2,3 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W			4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	1,8 kg	LENOVO ThinkPad Edge Plus E330 6-cell	6	62 Wh	Li-Ion	normál						FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO ThinkPad Edge	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	322 mm	228 mm	30 mm			2 db USB3		Igen		Igen		5400 fordulat/perc													
LENOVO IdeaPad S300 notebook (rózsaszín)	110937 Ft	13.3" HD (1366x768) VibrantView LED	WXGA	13,3 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Celeron 887	Intel	Celeron	2	1,50 GHz	1,5 GHz	Igen	2 MB	16 GB	Igen	32 nm	17 W	Igen		4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,8 kg	LENOVO IdeaPad S300 4-cell	4	32 Wh	Li-Ion	normál						Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	LENOVO IdeaPad S	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	világos alapon sötét karakterek	2			330 mm	230 mm	22 mm			1 db USB3		Igen		Igen	40 W	5400 fordulat/perc													
ACER Aspire 5742G notebook (fekete)	110149 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 380M	Intel	Core i3	2	2,53 GHz	2,5 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GeForce 610M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	ACER Aspire 5742 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire 57xx	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	381 mm	253 mm	34 mm			0 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
